School,EFG%,opp_EFG%,ORB%,DRB%,FT%,opp_FT%,TOV%,opp_TOV%,F1,wins
North Carolina St 2013,0.542,0.468,0.347,0.648,0.279,0.21,0.156,0.142,268,0
Syracuse 2011,0.528,0.455,0.367,0.665,0.239,0.198,0.159,0.178,58,1
Ohio St 2010,0.561,0.471,0.289,0.709,0.249,0.187,0.151,0.19,521,0
Ohio St 2010,0.561,0.471,0.289,0.709,0.249,0.187,0.151,0.19,19,2
Arizona 2011,0.541,0.486,0.34,0.708,0.325,0.248,0.164,0.162,33,3
Oklahoma St 2015,0.507,0.458,0.278,0.681,0.281,0.286,0.167,0.181,314,0
Ohio St 2011,0.563,0.483,0.357,0.716,0.26,0.152,0.135,0.204,53,2
Loyola (MD) 2012,0.472,0.478,0.381,0.628,0.309,0.275,0.174,0.189,469,0
Cincinnati 2015,0.495,0.441,0.373,0.677,0.249,0.17,0.179,0.169,176,1
Oregon St 2016,0.499,0.492,0.292,0.678,0.25,0.272,0.144,0.17,391,0
New Mexico St 2012,0.515,0.481,0.411,0.686,0.346,0.218,0.175,0.18,478,0
James Madison 2013,0.476,0.487,0.296,0.655,0.257,0.273,0.151,0.183,116,1
Gonzaga 2015,0.584,0.441,0.341,0.723,0.267,0.206,0.14,0.149,181,3
Oklahoma St 2014,0.524,0.463,0.28,0.68,0.357,0.282,0.131,0.173,437,0
Utah St 2010,0.551,0.458,0.338,0.731,0.226,0.206,0.141,0.157,531,0
North Carolina 2012,0.498,0.45,0.391,0.706,0.254,0.148,0.134,0.16,90,3
Valparaiso 2013,0.559,0.459,0.312,0.686,0.307,0.262,0.194,0.175,282,0
Butler 2010,0.51,0.466,0.304,0.726,0.346,0.235,0.165,0.192,2,5
Kansas St 2010,0.508,0.47,0.404,0.661,0.336,0.328,0.166,0.203,10,3
Boise St 2013,0.53,0.502,0.315,0.735,0.249,0.287,0.158,0.183,246,0
Alabama-Birmingham 2011,0.508,0.459,0.334,0.694,0.213,0.228,0.166,0.166,329,0
Kansas 2016,0.564,0.45,0.323,0.726,0.272,0.269,0.156,0.161,219,3
North Carolina 2011,0.492,0.462,0.371,0.699,0.255,0.163,0.154,0.169,51,3
Southern Mississippi 2012,0.469,0.495,0.372,0.692,0.29,0.29,0.14,0.193,488,0
Missouri 2013,0.512,0.461,0.387,0.685,0.261,0.203,0.16,0.153,262,0
St Mary's CA 2013,0.54,0.473,0.371,0.731,0.267,0.265,0.156,0.162,133,1
Vermont 2012,0.493,0.455,0.343,0.664,0.276,0.226,0.166,0.17,99,1
Mississippi Valley St 2012,0.463,0.496,0.339,0.643,0.225,0.276,0.179,0.204,473,0
St Louis 2013,0.504,0.455,0.274,0.681,0.31,0.229,0.15,0.207,132,1
Saint Mary's (CA) 2012,0.541,0.477,0.359,0.722,0.281,0.194,0.153,0.162,485,0
Villanova 2010,0.522,0.474,0.377,0.681,0.331,0.348,0.162,0.183,27,1
Purdue 2016,0.536,0.443,0.345,0.768,0.263,0.197,0.151,0.121,393,0
Miami FL 2016,0.542,0.483,0.299,0.711,0.305,0.209,0.146,0.151,222,2
North Dakota St 2014,0.555,0.487,0.317,0.727,0.307,0.291,0.135,0.16,435,0
BYU 2011,0.518,0.465,0.312,0.718,0.292,0.225,0.132,0.176,35,2
Colorado 2013,0.483,0.459,0.336,0.669,0.281,0.175,0.172,0.167,251,0
North Carolina 2014,0.499,0.47,0.381,0.687,0.268,0.278,0.142,0.167,158,1
Yale 2016,0.526,0.465,0.394,0.758,0.276,0.227,0.166,0.161,242,1
UC-Irvine 2015,0.52,0.442,0.302,0.695,0.2,0.24,0.159,0.151,295,0
Davidson 2013,0.532,0.452,0.29,0.693,0.309,0.264,0.149,0.165,252,0
Purdue 2015,0.502,0.454,0.365,0.691,0.285,0.266,0.169,0.153,316,0
VCU 2012,0.476,0.473,0.334,0.632,0.249,0.254,0.148,0.236,97,1
Memphis 2014,0.522,0.482,0.356,0.666,0.257,0.217,0.16,0.174,152,1
Siena 2010,0.493,0.48,0.355,0.705,0.261,0.136,0.148,0.189,528,0
West Virginia 2015,0.461,0.527,0.402,0.691,0.267,0.383,0.152,0.251,204,2
New Mexico St 2010,0.532,0.51,0.299,0.659,0.269,0.22,0.158,0.157,517,0
Wisconsin 2011,0.518,0.482,0.326,0.729,0.241,0.245,0.112,0.149,67,2
Middle Tennessee 2016,0.518,0.494,0.291,0.746,0.218,0.279,0.152,0.172,388,0
Villanova 2016,0.561,0.467,0.28,0.712,0.267,0.198,0.146,0.178,237,6
Villanova 2015,0.553,0.455,0.325,0.688,0.305,0.207,0.142,0.186,202,1
Illinois 2013,0.479,0.485,0.331,0.631,0.225,0.251,0.148,0.188,113,1
Kansas 2011,0.57,0.445,0.367,0.721,0.267,0.233,0.165,0.177,45,3
Xavier 2010,0.522,0.456,0.352,0.701,0.298,0.215,0.155,0.154,32,2
Kentucky 2011,0.523,0.442,0.343,0.693,0.257,0.218,0.138,0.156,47,4
Iowa 2016,0.513,0.48,0.318,0.689,0.237,0.171,0.127,0.161,217,1
Wichita St 2013,0.5,0.453,0.38,0.704,0.255,0.274,0.164,0.176,137,4
Baylor 2016,0.518,0.51,0.401,0.718,0.272,0.263,0.156,0.177,372,0
Oregon 2013,0.493,0.464,0.357,0.704,0.27,0.225,0.184,0.196,130,2
Duke 2014,0.538,0.493,0.345,0.691,0.283,0.282,0.122,0.162,418,0
Colorado 2012,0.499,0.461,0.301,0.697,0.299,0.207,0.173,0.162,71,1
Oregon 2014,0.535,0.491,0.322,0.681,0.338,0.339,0.142,0.166,159,1
Southern 2013,0.497,0.411,0.264,0.668,0.27,0.23,0.148,0.178,280,0
Temple 2010,0.491,0.43,0.321,0.723,0.189,0.188,0.141,0.157,529,0
South Dakota St 2016,0.515,0.473,0.325,0.743,0.298,0.281,0.148,0.157,396,0
Boston University 2011,0.473,0.46,0.34,0.657,0.272,0.212,0.161,0.151,333,0
Ark Little Rock 2016,0.52,0.456,0.273,0.714,0.229,0.254,0.137,0.186,208,1
Milwaukee 2014,0.493,0.488,0.283,0.692,0.32,0.265,0.172,0.162,428,0
FL Gulf Coast 2016,0.523,0.467,0.329,0.723,0.238,0.229,0.152,0.147,212,1
Wofford 2011,0.53,0.498,0.341,0.676,0.291,0.298,0.155,0.176,368,0
Washington 2010,0.497,0.465,0.369,0.678,0.295,0.304,0.15,0.191,29,2
Texas Southern 2015,0.495,0.493,0.338,0.654,0.309,0.216,0.17,0.159,321,0
Michigan St 2014,0.545,0.458,0.322,0.728,0.239,0.294,0.148,0.156,155,3
Missouri 2010,0.501,0.459,0.347,0.619,0.246,0.274,0.152,0.229,14,1
Alabama St 2011,0.44,0.454,0.357,0.666,0.285,0.352,0.199,0.2,330,0
Ohio St 2012,0.521,0.464,0.349,0.733,0.27,0.203,0.148,0.199,483,0
Ohio St 2012,0.521,0.464,0.349,0.733,0.27,0.203,0.148,0.199,92,4
George Mason 2011,0.532,0.466,0.329,0.687,0.266,0.217,0.147,0.177,42,1
New Mexico St 2015,0.509,0.461,0.399,0.695,0.306,0.223,0.184,0.181,308,0
Stephen F. Austin 2015,0.557,0.485,0.379,0.707,0.314,0.343,0.176,0.225,320,0
Syracuse 2016,0.501,0.473,0.334,0.65,0.243,0.186,0.155,0.17,233,4
NC A&T 2013,0.458,0.449,0.3,0.636,0.276,0.267,0.198,0.203,127,1
Memphis 2013,0.524,0.455,0.356,0.661,0.246,0.236,0.178,0.192,121,1
Marquette 2012,0.501,0.454,0.339,0.611,0.295,0.21,0.161,0.198,84,2
Dayton 2015,0.53,0.472,0.233,0.716,0.33,0.207,0.163,0.185,177,2
Arizona 2014,0.517,0.423,0.364,0.727,0.27,0.245,0.134,0.167,139,3
Old Dominion 2011,0.485,0.473,0.454,0.718,0.251,0.172,0.166,0.165,354,0
Pacific 2013,0.509,0.49,0.295,0.676,0.256,0.264,0.154,0.177,274,0
Liberty 2013,0.493,0.473,0.297,0.647,0.288,0.263,0.173,0.136,258,0
San Diego St 2011,0.515,0.444,0.382,0.708,0.213,0.194,0.142,0.169,57,2
Connecticut 2014,0.515,0.446,0.304,0.671,0.298,0.237,0.153,0.166,142,6
Akron 2013,0.516,0.443,0.377,0.668,0.233,0.245,0.174,0.176,243,0
Coastal Carolina 2014,0.491,0.471,0.351,0.708,0.266,0.262,0.17,0.163,415,0
Florida 2010,0.494,0.484,0.37,0.672,0.235,0.188,0.155,0.175,504,0
Arkansas 2015,0.5,0.483,0.357,0.654,0.27,0.278,0.144,0.193,174,1
Colorado 2016,0.488,0.47,0.353,0.754,0.293,0.241,0.16,0.136,378,0
Oklahoma 2016,0.543,0.472,0.31,0.7,0.238,0.192,0.16,0.152,228,4
Indiana 2015,0.544,0.503,0.352,0.686,0.235,0.223,0.147,0.138,302,0
Fresno St 2016,0.487,0.486,0.311,0.706,0.263,0.311,0.132,0.187,382,0
Memphis 2011,0.504,0.468,0.353,0.65,0.269,0.267,0.187,0.182,345,0
San Diego St 2012,0.505,0.466,0.315,0.712,0.259,0.196,0.161,0.168,486,0
Buffalo 2016,0.499,0.493,0.322,0.713,0.294,0.27,0.161,0.159,373,0
Gonzaga 2016,0.553,0.446,0.323,0.744,0.258,0.198,0.149,0.132,213,2
Iowa 2014,0.511,0.474,0.377,0.71,0.333,0.25,0.135,0.164,422,0
Massachusetts 2014,0.504,0.466,0.344,0.683,0.268,0.251,0.162,0.161,426,0
Colorado St 2013,0.495,0.477,0.412,0.741,0.312,0.249,0.143,0.15,106,1
Iowa St 2013,0.538,0.48,0.342,0.69,0.241,0.237,0.16,0.163,115,1
Northern Iowa 2010,0.496,0.466,0.307,0.732,0.281,0.199,0.155,0.181,17,2
Montana 2012,0.52,0.454,0.283,0.657,0.285,0.268,0.168,0.195,475,0
Fairleigh Dickinson 2016,0.517,0.522,0.286,0.646,0.228,0.325,0.154,0.182,380,0
Eastern Kentucky 2014,0.574,0.549,0.236,0.664,0.331,0.381,0.142,0.221,419,0
Vanderbilt 2010,0.525,0.464,0.331,0.649,0.337,0.214,0.169,0.163,532,0
Valparaiso 2015,0.52,0.446,0.356,0.731,0.248,0.23,0.165,0.168,323,0
Lehigh 2010,0.514,0.487,0.298,0.705,0.31,0.219,0.163,0.169,508,0
Cincinnati 2016,0.493,0.456,0.366,0.695,0.234,0.184,0.138,0.173,377,0
Providence 2014,0.483,0.489,0.354,0.693,0.328,0.233,0.147,0.142,439,0
Louisville 2012,0.473,0.433,0.357,0.64,0.249,0.227,0.175,0.195,83,4
North Carolina-Wilmington 2016,0.512,0.469,0.322,0.692,0.262,0.382,0.136,0.181,390,0
Bucknell 2013,0.496,0.425,0.293,0.735,0.268,0.205,0.133,0.127,247,0
Richmond 2011,0.531,0.451,0.286,0.666,0.222,0.201,0.143,0.164,56,2
West Virginia 2016,0.498,0.484,0.419,0.729,0.311,0.395,0.164,0.227,408,0
Hampton 2011,0.463,0.432,0.297,0.641,0.267,0.241,0.159,0.192,340,0
University of California 2016,0.522,0.443,0.326,0.747,0.274,0.265,0.155,0.124,375,0
Texas Tech 2016,0.5,0.496,0.312,0.679,0.314,0.232,0.156,0.161,402,0
Louisville 2010,0.514,0.485,0.398,0.631,0.251,0.288,0.166,0.189,509,0
American 2014,0.558,0.464,0.265,0.703,0.248,0.276,0.208,0.172,410,0
Seton Hall 2016,0.498,0.454,0.347,0.692,0.266,0.229,0.166,0.168,395,0
Green Bay 2016,0.5,0.511,0.309,0.682,0.282,0.255,0.136,0.189,383,0
Marquette 2013,0.496,0.462,0.383,0.632,0.299,0.216,0.178,0.167,120,3
Washington 2011,0.537,0.464,0.377,0.681,0.212,0.299,0.142,0.176,65,1
Long Island University 2013,0.544,0.526,0.352,0.628,0.315,0.214,0.175,0.159,259,0
New Mexico St 2013,0.493,0.45,0.373,0.684,0.303,0.217,0.187,0.164,265,0
Baylor 2014,0.521,0.485,0.406,0.683,0.306,0.213,0.148,0.137,140,2
Southern California 2016,0.522,0.473,0.321,0.685,0.237,0.199,0.144,0.143,397,0
Utah St 2011,0.527,0.435,0.345,0.739,0.315,0.23,0.159,0.165,364,0
UCLA 2013,0.491,0.475,0.307,0.629,0.24,0.164,0.138,0.169,281,0
North Carolina 2016,0.526,0.481,0.403,0.705,0.241,0.212,0.128,0.159,225,5
Texas A&M 2016,0.512,0.474,0.338,0.717,0.256,0.213,0.144,0.181,234,2
New Mexico St 2014,0.539,0.438,0.375,0.668,0.368,0.245,0.162,0.138,431,0
Kentucky 2010,0.53,0.431,0.405,0.682,0.291,0.204,0.168,0.169,11,3
Harvard 2014,0.519,0.458,0.328,0.704,0.347,0.257,0.151,0.192,147,1
Lehigh 2012,0.507,0.467,0.317,0.661,0.291,0.239,0.142,0.183,82,1
Syracuse 2012,0.521,0.442,0.363,0.572,0.23,0.209,0.136,0.201,96,3
Belmont 2015,0.567,0.515,0.29,0.704,0.225,0.203,0.18,0.164,291,0
Georgetown 2012,0.519,0.433,0.358,0.673,0.27,0.243,0.17,0.172,75,1
Villanova 2013,0.474,0.472,0.33,0.679,0.363,0.278,0.199,0.195,283,0
Eastern Washington 2015,0.562,0.52,0.299,0.696,0.255,0.253,0.137,0.157,298,0
Butler 2011,0.501,0.481,0.332,0.721,0.273,0.26,0.144,0.168,34,5
Florida 2014,0.522,0.454,0.347,0.719,0.283,0.217,0.146,0.187,145,4
Connecticut 2012,0.5,0.446,0.363,0.617,0.229,0.186,0.16,0.141,457,0
Butler 2013,0.512,0.468,0.363,0.711,0.268,0.25,0.173,0.153,104,1
Iowa 2015,0.481,0.456,0.356,0.697,0.282,0.202,0.145,0.163,183,1
San Diego St 2014,0.481,0.431,0.367,0.707,0.298,0.215,0.129,0.184,161,2
Michigan St 2012,0.527,0.433,0.361,0.708,0.264,0.242,0.168,0.169,85,2
Chattanooga 2016,0.524,0.5,0.326,0.714,0.304,0.202,0.159,0.182,376,0
UT San Antonio 2011,0.491,0.484,0.304,0.666,0.292,0.249,0.172,0.176,63,1
Creighton 2014,0.589,0.485,0.277,0.722,0.252,0.229,0.134,0.13,143,1
Iowa St 2015,0.543,0.476,0.283,0.704,0.254,0.176,0.141,0.161,303,0
Kansas 2015,0.494,0.446,0.349,0.684,0.309,0.227,0.165,0.15,184,1
Minnesota 2010,0.531,0.465,0.329,0.676,0.238,0.223,0.16,0.182,512,0
Iowa St 2014,0.542,0.477,0.288,0.715,0.252,0.225,0.128,0.139,148,2
Texas Southern 2014,0.521,0.505,0.338,0.69,0.352,0.201,0.168,0.138,444,0
Michigan 2012,0.532,0.485,0.28,0.673,0.204,0.212,0.156,0.175,472,0
Southern Methodist 2015,0.517,0.455,0.371,0.706,0.309,0.21,0.169,0.176,318,0
Little Rock 2011,0.488,0.494,0.299,0.687,0.292,0.312,0.157,0.182,331,0
Texas 2011,0.502,0.426,0.382,0.694,0.282,0.211,0.145,0.162,60,1
Southern 2016,0.496,0.474,0.289,0.684,0.247,0.254,0.141,0.171,398,0
Richmond 2010,0.511,0.442,0.26,0.644,0.227,0.256,0.147,0.191,523,0
SF Austin 2014,0.525,0.499,0.384,0.715,0.286,0.352,0.144,0.216,162,1
Pittsburgh 2014,0.507,0.467,0.373,0.709,0.315,0.257,0.138,0.168,160,1
Wichita St 2016,0.49,0.446,0.317,0.765,0.272,0.32,0.128,0.209,239,2
Mount St. Mary's 2014,0.515,0.535,0.278,0.67,0.271,0.253,0.148,0.164,429,0
La Salle 2013,0.519,0.493,0.29,0.623,0.231,0.194,0.151,0.184,118,3
Cal St Bakersfield 2016,0.497,0.451,0.346,0.71,0.245,0.291,0.152,0.193,374,0
Virginia 2015,0.506,0.423,0.342,0.757,0.254,0.185,0.135,0.158,203,1
Duke 2016,0.537,0.495,0.33,0.656,0.293,0.172,0.123,0.146,211,2
Pittsburgh 2011,0.529,0.451,0.429,0.714,0.289,0.218,0.152,0.152,54,1
Mercer 2014,0.547,0.459,0.34,0.7,0.282,0.272,0.148,0.16,153,1
UCLA 2015,0.496,0.485,0.338,0.714,0.242,0.225,0.15,0.157,200,2
BYU 2010,0.552,0.462,0.312,0.722,0.307,0.244,0.144,0.192,3,1
Notre Dame 2016,0.54,0.495,0.323,0.683,0.244,0.189,0.133,0.126,227,3
UC-Santa Barbara 2010,0.51,0.478,0.274,0.677,0.312,0.268,0.201,0.195,499,0
Hampton 2015,0.456,0.464,0.318,0.691,0.286,0.312,0.174,0.175,182,1
Belmont 2013,0.567,0.477,0.299,0.632,0.24,0.264,0.173,0.219,245,0
Bucknell 2011,0.509,0.454,0.252,0.71,0.269,0.244,0.151,0.155,335,0
Buffalo 2015,0.487,0.485,0.345,0.696,0.306,0.228,0.142,0.171,294,0
Nebraska 2014,0.483,0.476,0.257,0.71,0.303,0.306,0.149,0.167,430,0
Tennessee 2014,0.503,0.462,0.398,0.724,0.299,0.224,0.138,0.15,166,3
Baylor 2015,0.497,0.455,0.424,0.69,0.26,0.205,0.165,0.164,290,0
Indiana 2012,0.552,0.481,0.353,0.656,0.34,0.241,0.167,0.174,77,2
Duke 2010,0.505,0.437,0.403,0.679,0.287,0.234,0.134,0.183,6,6
Indiana 2013,0.548,0.44,0.39,0.66,0.341,0.191,0.165,0.179,114,2
Florida 2011,0.521,0.472,0.372,0.7,0.239,0.187,0.158,0.165,40,3
Michigan St 2015,0.532,0.449,0.334,0.73,0.207,0.281,0.15,0.144,188,4
NC St 2012,0.504,0.471,0.358,0.666,0.255,0.228,0.16,0.159,87,2
Weber St 2016,0.559,0.464,0.265,0.748,0.294,0.181,0.171,0.139,407,0
Stony Brook 2016,0.524,0.464,0.36,0.747,0.215,0.192,0.143,0.165,400,0
Robert Morris 2015,0.501,0.493,0.31,0.641,0.252,0.248,0.173,0.185,197,1
Long Island University 2012,0.532,0.494,0.342,0.621,0.363,0.153,0.188,0.156,468,0
UC-Santa Barbara 2011,0.523,0.473,0.284,0.681,0.281,0.284,0.193,0.175,336,0
Syracuse 2013,0.49,0.426,0.388,0.616,0.248,0.238,0.157,0.198,134,4
Indiana St 2011,0.494,0.462,0.309,0.702,0.268,0.326,0.186,0.174,341,0
UCLA 2011,0.502,0.463,0.36,0.685,0.301,0.222,0.187,0.154,61,1
Saint Peter's 2011,0.455,0.424,0.321,0.657,0.25,0.276,0.197,0.183,357,0
Missouri 2012,0.58,0.501,0.304,0.65,0.287,0.185,0.136,0.186,474,0
Kansas St 2014,0.488,0.453,0.347,0.668,0.264,0.311,0.157,0.164,423,0
Gonzaga 2010,0.54,0.462,0.321,0.711,0.328,0.219,0.164,0.161,8,1
Iowa St 2012,0.526,0.486,0.323,0.717,0.266,0.185,0.159,0.152,78,1
Tennessee 2011,0.476,0.479,0.378,0.677,0.272,0.264,0.166,0.179,361,0
Temple 2013,0.49,0.49,0.308,0.654,0.257,0.247,0.137,0.176,135,1
Butler 2015,0.484,0.467,0.347,0.747,0.279,0.227,0.145,0.174,175,1
Texas 2012,0.485,0.469,0.385,0.619,0.312,0.281,0.157,0.173,491,0
Texas 2014,0.474,0.465,0.396,0.698,0.291,0.283,0.146,0.141,167,1
Houston 2010,0.483,0.51,0.303,0.614,0.239,0.282,0.107,0.198,506,0
Ohio St 2013,0.506,0.454,0.311,0.7,0.251,0.211,0.137,0.182,129,3
Morgan St 2010,0.475,0.465,0.397,0.653,0.307,0.291,0.157,0.172,514,0
Winthrop 2010,0.412,0.449,0.341,0.698,0.232,0.26,0.152,0.199,534,0
New Mexico 2013,0.484,0.459,0.293,0.697,0.329,0.173,0.156,0.171,266,0
Missouri 2011,0.515,0.489,0.339,0.637,0.25,0.276,0.149,0.212,347,0
Nevada-Las Vegas 2013,0.492,0.439,0.338,0.705,0.262,0.204,0.173,0.165,264,0
Coastal Carolina 2015,0.5,0.461,0.375,0.738,0.283,0.235,0.151,0.161,296,0
Iowa St 2016,0.571,0.498,0.261,0.701,0.183,0.171,0.142,0.145,218,2
Wisconsin 2014,0.533,0.472,0.281,0.726,0.318,0.196,0.114,0.134,172,4
Ohio 2012,0.494,0.465,0.339,0.622,0.245,0.299,0.165,0.224,91,2
Duke 2013,0.539,0.455,0.288,0.653,0.289,0.237,0.138,0.176,108,3
Duke 2012,0.528,0.471,0.347,0.654,0.316,0.227,0.153,0.16,460,0
Wofford 2015,0.516,0.467,0.291,0.731,0.262,0.251,0.153,0.179,326,0
Georgia St 2015,0.527,0.457,0.3,0.656,0.277,0.282,0.143,0.2,180,1
Northern Colorado 2011,0.502,0.483,0.353,0.717,0.334,0.303,0.182,0.183,351,0
Southern California 2011,0.499,0.462,0.299,0.715,0.23,0.253,0.156,0.162,359,0
Connecticut 2011,0.482,0.445,0.387,0.659,0.258,0.182,0.143,0.146,38,6
Colorado St 2012,0.53,0.503,0.287,0.685,0.324,0.278,0.175,0.161,456,0
Alabama 2012,0.491,0.437,0.335,0.657,0.257,0.247,0.175,0.181,452,0
Notre Dame 2012,0.495,0.458,0.305,0.649,0.263,0.18,0.14,0.147,482,0
Wisconsin 2015,0.548,0.477,0.321,0.763,0.276,0.159,0.108,0.141,206,5
Florida 2012,0.548,0.478,0.335,0.661,0.237,0.207,0.145,0.165,73,3
Purdue 2010,0.491,0.448,0.294,0.682,0.279,0.263,0.143,0.204,22,2
Purdue 2012,0.511,0.499,0.318,0.648,0.224,0.236,0.116,0.17,93,1
Kentucky 2014,0.5,0.46,0.414,0.705,0.353,0.254,0.147,0.14,150,5
Clemson 2011,0.503,0.456,0.342,0.675,0.27,0.247,0.174,0.199,37,1
Mississippi 2013,0.491,0.464,0.336,0.645,0.263,0.206,0.131,0.186,126,1
Louisville 2013,0.506,0.448,0.382,0.646,0.283,0.23,0.155,0.232,119,6
FL Gulf Coast 2013,0.521,0.465,0.322,0.646,0.235,0.228,0.183,0.192,109,2
Montana 2013,0.532,0.481,0.259,0.663,0.305,0.248,0.169,0.162,263,0
North Florida 2015,0.553,0.476,0.301,0.688,0.283,0.222,0.163,0.154,311,0
Northwestern St 2013,0.505,0.469,0.353,0.606,0.265,0.243,0.16,0.191,269,0
Northern Iowa 2016,0.535,0.486,0.176,0.733,0.257,0.173,0.143,0.159,226,1
Gonzaga 2013,0.555,0.449,0.378,0.678,0.283,0.2,0.147,0.182,111,1
Hawaii 2016,0.52,0.453,0.31,0.739,0.307,0.281,0.16,0.182,214,1
Murray St 2010,0.556,0.436,0.397,0.675,0.291,0.233,0.185,0.211,15,1
Oklahoma 2015,0.493,0.441,0.315,0.686,0.243,0.186,0.152,0.168,195,2
Georgia 2011,0.495,0.448,0.368,0.683,0.255,0.243,0.173,0.155,339,0
Long Beach St 2012,0.527,0.475,0.347,0.668,0.281,0.189,0.165,0.194,467,0
Duke 2011,0.537,0.445,0.351,0.668,0.282,0.193,0.148,0.179,39,2
Louisiana 2014,0.522,0.497,0.363,0.684,0.288,0.302,0.154,0.166,424,0
Virginia 2014,0.508,0.442,0.332,0.744,0.283,0.215,0.14,0.162,170,2
Texas 2016,0.494,0.477,0.307,0.682,0.263,0.268,0.134,0.159,403,0
Brigham Young 2014,0.503,0.489,0.347,0.717,0.334,0.265,0.13,0.148,412,0
Utah 2016,0.557,0.48,0.302,0.727,0.276,0.165,0.162,0.134,235,1
Weber St 2014,0.547,0.465,0.289,0.72,0.369,0.239,0.169,0.126,447,0
Georgetown 2010,0.557,0.474,0.331,0.678,0.263,0.24,0.183,0.17,505,0
Oklahoma St 2013,0.488,0.445,0.313,0.668,0.302,0.241,0.158,0.188,272,0
Wisconsin 2016,0.485,0.48,0.33,0.726,0.267,0.238,0.147,0.164,240,2
SF Austin 2016,0.545,0.488,0.346,0.7,0.253,0.258,0.149,0.236,231,1
Vanderbilt 2012,0.541,0.469,0.316,0.652,0.28,0.2,0.171,0.163,98,1
Oakland 2010,0.498,0.499,0.376,0.695,0.307,0.215,0.166,0.164,520,0
Arizona 2016,0.536,0.462,0.349,0.753,0.316,0.209,0.158,0.143,370,0
Morehead St 2011,0.509,0.488,0.416,0.725,0.27,0.255,0.192,0.204,50,1
Davidson 2012,0.511,0.473,0.354,0.705,0.283,0.277,0.145,0.159,458,0
UCLA 2014,0.541,0.499,0.298,0.714,0.286,0.241,0.129,0.179,168,2
Ohio 2010,0.494,0.469,0.324,0.663,0.295,0.248,0.157,0.184,18,1
Xavier 2016,0.514,0.478,0.352,0.74,0.305,0.234,0.15,0.17,241,1
Murray St 2012,0.537,0.457,0.349,0.633,0.318,0.229,0.181,0.213,86,1
North Carolina-Asheville 2016,0.505,0.48,0.319,0.711,0.284,0.224,0.16,0.191,389,0
St Louis 2014,0.494,0.44,0.294,0.715,0.281,0.243,0.164,0.183,163,1
New Mexico 2014,0.511,0.45,0.325,0.718,0.338,0.227,0.139,0.13,432,0
Duke 2015,0.566,0.465,0.358,0.698,0.278,0.166,0.141,0.16,178,6
Cornell 2010,0.568,0.475,0.33,0.705,0.207,0.263,0.163,0.183,5,2
