,Team_Id,wins,School
86,1329,2,Oklahoma St 2005
87,1334,1,Pacific 2005
88,1356,1,S Illinois 2005
89,1403,2,Texas Tech 2005
90,1412,1,UAB 2005
91,1428,2,Utah 2005
92,1436,1,Vermont 2005
93,1437,2,Villanova 2005
94,1448,1,Wake Forest 2005
95,1449,2,Washington 2005
96,1452,3,West Virginia 2005
97,1454,2,WI Milwaukee 2005
98,1458,3,Wisconsin 2005
99,1104,1,Alabama 2006
100,1112,1,Arizona 2006
101,1130,2,Boston College 2006
102,1133,2,Bradley 2006
103,1137,1,Bucknell 2006
104,1163,3,Connecticut 2006
105,1181,2,Duke 2006
106,1196,6,Florida 2006
107,1203,1,G Washington 2006
108,1206,4,George Mason 2006
109,1207,2,Georgetown 2006
110,1211,2,Gonzaga 2006
111,1228,1,Illinois 2006
112,1231,1,Indiana 2006
113,1246,1,Kentucky 2006
114,1261,4,LSU 2006
115,1272,3,Memphis 2006
116,1284,1,Monmouth NJ 2006
117,1285,1,Montana 2006
118,1301,1,NC State 2006
119,1314,1,North Carolina 2006
120,1322,1,Northwestern LA 2006
121,1326,1,Ohio St 2006
122,1338,1,Pittsburgh 2006
123,1397,1,Tennessee 2006
124,1400,3,Texas 2006
125,1401,1,Texas A&M 2006
126,1417,5,UCLA 2006
127,1437,3,Villanova 2006
128,1449,2,Washington 2006
129,1452,2,West Virginia 2006
130,1454,1,WI Milwaukee 2006
131,1455,2,Wichita St 2006
132,1130,1,Boston College 2007
133,1139,2,Butler 2007
134,1196,6,Florida 2007
135,1207,4,Georgetown 2007
136,1231,1,Indiana 2007
137,1242,3,Kansas 2007
138,1246,1,Kentucky 2007
139,1257,1,Louisville 2007
140,1268,1,Maryland 2007
141,1272,3,Memphis 2007
142,1277,1,Michigan St 2007
143,1305,1,Nevada 2007
144,1310,1,Niagara 2007
145,1314,3,North Carolina 2007
146,1326,5,Ohio St 2007
147,1332,3,Oregon 2007
148,1338,2,Pittsburgh 2007
149,1345,1,Purdue 2007
150,1356,2,S Illinois 2007
151,1397,2,Tennessee 2007
152,1400,1,Texas 2007
153,1401,2,Texas A&M 2007
154,1417,4,UCLA 2007
155,1424,2,UNLV 2007
156,1425,2,USC 2007
157,1433,1,VA Commonwealth 2007
158,1435,2,Vanderbilt 2007
159,1438,1,Virginia 2007
160,1439,1,Virginia Tech 2007
161,1450,1,Washington St 2007
162,1457,1,Winthrop 2007
163,1458,1,Wisconsin 2007
164,1462,1,Xavier 2007
165,1116,1,Arkansas 2008
166,1139,1,Butler 2008
167,1172,3,Davidson 2008
168,1181,1,Duke 2008
169,1207,1,Georgetown 2008
170,1242,6,Kansas 2008
171,1243,1,Kansas St 2008
172,1257,3,Louisville 2008
173,1266,1,Marquette 2008
174,1272,5,Memphis 2008
175,1274,1,Miami FL 2008
176,1277,2,Michigan St 2008
177,1280,1,Mississippi St 2008
178,1291,1,Mt St Mary's 2008
179,1314,4,North Carolina 2008
180,1323,1,Notre Dame 2008
181,1328,1,Oklahoma 2008
182,1338,1,Pittsburgh 2008
183,1345,1,Purdue 2008
184,1360,1,San Diego 2008
185,1373,1,Siena 2008
186,1390,2,Stanford 2008
187,1397,2,Tennessee 2008
188,1400,3,Texas 2008
189,1401,1,Texas A&M 2008
190,1417,4,UCLA 2008
191,1424,1,UNLV 2008
192,1437,2,Villanova 2008
193,1443,2,WKU 2008
194,1450,2,Washington St 2008
195,1452,2,West Virginia 2008
196,1458,2,Wisconsin 2008
197,1462,3,Xavier 2008
198,1112,2,Arizona 2009
199,1113,1,Arizona St 2009
200,1156,1,Cleveland St 2009
201,1163,4,Connecticut 2009
202,1173,1,Dayton 2009
203,1181,2,Duke 2009
204,1211,2,Gonzaga 2009
205,1242,2,Kansas 2009
206,1257,3,Louisville 2009
207,1261,1,LSU 2009
208,1266,1,Marquette 2009
209,1268,1,Maryland 2009
210,1272,2,Memphis 2009
211,1276,1,Michigan 2009
212,1277,5,Michigan St 2009
213,1281,3,Missouri 2009
214,1287,1,Morehead St 2009
215,1314,6,North Carolina 2009
216,1328,3,Oklahoma 2009
217,1329,1,Oklahoma St 2009
218,1338,3,Pittsburgh 2009
219,1345,2,Purdue 2009
220,1373,1,Siena 2009
221,1393,2,Syracuse 2009
222,1400,1,Texas 2009
223,1401,1,Texas A&M 2009
224,1417,1,UCLA 2009
225,1425,1,USC 2009
226,1437,4,Villanova 2009
227,1443,1,WKU 2009
228,1449,1,Washington 2009
229,1458,1,Wisconsin 2009
230,1462,2,Xavier 2009
231,1115,1,Ark Pine Bluff 2010
232,1124,3,Baylor 2010
233,1139,5,Butler 2010
234,1140,1,BYU 2010
235,1143,1,California 2010
236,1165,2,Cornell 2010
237,1181,6,Duke 2010
238,1210,1,Georgia Tech 2010
239,1211,1,Gonzaga 2010
240,1242,1,Kansas 2010
241,1243,3,Kansas St 2010
242,1246,3,Kentucky 2010
243,1268,1,Maryland 2010
244,1277,4,Michigan St 2010
245,1281,1,Missouri 2010
246,1293,1,Murray St 2010
247,1307,1,New Mexico 2010
248,1320,2,Northern Iowa 2010
249,1325,1,Ohio 2010
250,1326,2,Ohio St 2010
251,1330,1,Old Dominion 2010
252,1338,1,Pittsburgh 2010
253,1345,2,Purdue 2010
254,1388,2,St Mary's CA 2010
255,1393,2,Syracuse 2010
256,1397,3,Tennessee 2010
257,1401,1,Texas A&M 2010
258,1437,1,Villanova 2010
259,1448,1,Wake Forest 2010
260,1449,2,Washington 2010
261,1452,4,West Virginia 2010
262,1458,1,Wisconsin 2010
263,1462,2,Xavier 2010
264,1112,3,Arizona 2011
265,1139,5,Butler 2011
266,1140,2,BYU 2011
267,1153,1,Cincinnati 2011
268,1155,1,Clemson 2011
269,1163,6,Connecticut 2011
270,1181,2,Duke 2011
271,1196,3,Florida 2011
272,1199,2,Florida St 2011
273,1206,1,George Mason 2011
274,1211,1,Gonzaga 2011
275,1228,1,Illinois 2011
276,1242,3,Kansas 2011
277,1243,1,Kansas St 2011
278,1246,4,Kentucky 2011
279,1266,2,Marquette 2011
280,1276,1,Michigan 2011
281,1287,1,Morehead St 2011
282,1314,3,North Carolina 2011
283,1323,1,Notre Dame 2011
284,1326,2,Ohio St 2011
285,1338,1,Pittsburgh 2011
286,1345,1,Purdue 2011
287,1350,2,Richmond 2011
288,1361,2,San Diego St 2011
289,1393,1,Syracuse 2011
290,1396,1,Temple 2011
291,1400,1,Texas 2011
292,1417,1,UCLA 2011
293,1421,1,UNC Asheville 2011
294,1427,1,UT San Antonio 2011
295,1433,5,VA Commonwealth 2011
296,1449,1,Washington 2011
297,1452,1,West Virginia 2011
298,1458,2,Wisconsin 2011
299,1124,3,Baylor 2012
300,1140,1,BYU 2012
301,1153,2,Cincinnati 2012
302,1160,1,Colorado 2012
303,1166,1,Creighton 2012
304,1196,3,Florida 2012
305,1199,1,Florida St 2012
306,1207,1,Georgetown 2012
307,1211,1,Gonzaga 2012
308,1231,2,Indiana 2012
309,1235,1,Iowa St 2012
310,1242,5,Kansas 2012
311,1243,1,Kansas St 2012
312,1246,6,Kentucky 2012
313,1250,1,Lehigh 2012
314,1257,4,Louisville 2012
315,1266,2,Marquette 2012
316,1277,2,Michigan St 2012
317,1293,1,Murray St 2012
318,1301,2,NC State 2012
319,1307,1,New Mexico 2012
320,1313,1,Norfolk St 2012
321,1314,3,North Carolina 2012
322,1325,2,Ohio 2012
323,1326,4,Ohio St 2012
324,1345,1,Purdue 2012
325,1378,2,South Florida 2012
326,1387,1,St Louis 2012
327,1393,3,Syracuse 2012
328,1433,1,VA Commonwealth 2012
329,1435,1,Vanderbilt 2012
330,1436,1,Vermont 2012
331,1443,1,WKU 2012
332,1458,2,Wisconsin 2012
333,1462,2,Xavier 2012
334,1112,2,Arizona 2013
335,1139,1,Butler 2013
336,1143,1,California 2013
337,1161,1,Colorado St 2013
338,1166,1,Creighton 2013
339,1181,3,Duke 2013
340,1195,2,FL Gulf Coast 2013
341,1196,3,Florida 2013
342,1211,1,Gonzaga 2013
343,1217,1,Harvard 2013
344,1228,1,Illinois 2013
345,1231,2,Indiana 2013
346,1235,1,Iowa St 2013
347,1241,1,James Madison 2013
348,1242,2,Kansas 2013
349,1247,3,La Salle 2013
350,1257,6,Louisville 2013
351,1266,3,Marquette 2013
352,1272,1,Memphis 2013
353,1274,2,Miami FL 2013
354,1276,5,Michigan 2013
355,1277,2,Michigan St 2013
356,1278,1,Minnesota 2013
357,1279,1,Mississippi 2013
358,1299,1,NC A&T 2013
359,1314,1,North Carolina 2013
360,1326,3,Ohio St 2013
361,1332,2,Oregon 2013
362,1361,1,San Diego St 2013
363,1387,1,St Louis 2013
364,1388,1,St Mary's CA 2013
365,1393,4,Syracuse 2013
366,1396,1,Temple 2013
367,1433,1,VA Commonwealth 2013
368,1455,4,Wichita St 2013
369,1107,1,Albany NY 2014
370,1112,3,Arizona 2014
371,1124,2,Baylor 2014
372,1142,1,Cal Poly SLO 2014
373,1163,6,Connecticut 2014
374,1166,1,Creighton 2014
375,1173,3,Dayton 2014
376,1196,4,Florida 2014
377,1211,1,Gonzaga 2014
378,1217,1,Harvard 2014
379,1235,2,Iowa St 2014
380,1242,1,Kansas 2014
381,1246,5,Kentucky 2014
382,1257,2,Louisville 2014
383,1272,1,Memphis 2014
384,1273,1,Mercer 2014
385,1276,3,Michigan 2014
386,1277,3,Michigan St 2014
387,1295,1,N Dakota St 2014
388,1301,1,NC State 2014
389,1314,1,North Carolina 2014
390,1332,1,Oregon 2014
391,1338,1,Pittsburgh 2014
392,1361,2,San Diego St 2014
393,1372,1,SF Austin 2014
394,1387,1,St Louis 2014
395,1390,2,Stanford 2014
396,1393,1,Syracuse 2014
397,1397,3,Tennessee 2014
398,1400,1,Texas 2014
399,1417,2,UCLA 2014
400,1437,1,Villanova 2014
401,1438,2,Virginia 2014
402,1455,1,Wichita St 2014
403,1458,4,Wisconsin 2014
404,1112,3,Arizona 2015
405,1116,1,Arkansas 2015
406,1139,1,Butler 2015
407,1153,1,Cincinnati 2015
408,1173,2,Dayton 2015
409,1181,6,Duke 2015
410,1207,1,Georgetown 2015
411,1209,1,Georgia St 2015
412,1211,3,Gonzaga 2015
413,1214,1,Hampton 2015
414,1234,1,Iowa 2015
415,1242,1,Kansas 2015
416,1246,4,Kentucky 2015
417,1257,3,Louisville 2015
418,1268,1,Maryland 2015
419,1277,4,Michigan St 2015
420,1279,1,Mississippi 2015
421,1301,2,NC State 2015
422,1314,2,North Carolina 2015
423,1320,1,Northern Iowa 2015
424,1323,3,Notre Dame 2015
425,1326,1,Ohio St 2015
426,1328,2,Oklahoma 2015
427,1332,1,Oregon 2015
428,1352,1,Robert Morris 2015
429,1361,1,San Diego St 2015
430,1412,1,UAB 2015
431,1417,2,UCLA 2015
432,1428,2,Utah 2015
433,1437,1,Villanova 2015
434,1438,1,Virginia 2015
435,1452,2,West Virginia 2015
436,1455,2,Wichita St 2015
437,1458,5,Wisconsin 2015
438,1462,2,Xavier 2015
439,1114,1,Ark Little Rock 2016
440,1139,1,Butler 2016
441,1163,1,Connecticut 2016
442,1181,2,Duke 2016
443,1195,1,FL Gulf Coast 2016
444,1211,2,Gonzaga 2016
445,1218,1,Hawaii 2016
446,1221,1,Holy Cross 2016
447,1231,2,Indiana 2016
448,1234,1,Iowa 2016
449,1235,2,Iowa St 2016
450,1242,3,Kansas 2016
451,1246,1,Kentucky 2016
452,1268,2,Maryland 2016
453,1274,2,Miami FL 2016
454,1276,1,Michigan 2016
455,1292,1,MTSU 2016
456,1314,5,North Carolina 2016
457,1320,1,Northern Iowa 2016
458,1323,3,Notre Dame 2016
459,1328,4,Oklahoma 2016
460,1332,3,Oregon 2016
461,1344,1,Providence 2016
462,1372,1,SF Austin 2016
463,1386,1,St Joseph's PA 2016
464,1393,4,Syracuse 2016
465,1401,2,Texas A&M 2016
466,1428,1,Utah 2016
467,1433,1,VA Commonwealth 2016
468,1437,6,Villanova 2016
469,1438,3,Virginia 2016
470,1455,2,Wichita St 2016
471,1458,2,Wisconsin 2016
472,1462,1,Xavier 2016
473,1463,1,Yale 2016
