School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Cal State Northridge,968,2103,234,431,676,352,1214,410
California Baptist,831,1859,287,454,576,306,1171,379
UC-Davis,735,1673,203,365,515,218,929,412
UC-Irvine NCAA,987,2159,252,449,640,429,1471,441
UC-Riverside,792,1787,279,290,424,281,1051,425
UC-Santa Barbara,825,1819,204,496,693,379,1204,355
University of California,739,1735,207,436,603,249,900,352
Campbell,867,1906,313,448,590,266,1050,337
Canisius,798,1834,256,398,575,300,1026,412
Central Arkansas,810,1903,276,487,667,299,1164,478
Central Connecticut State,754,1821,201,496,634,332,1107,427
Central Florida NCAA,819,1763,229,518,798,315,1215,393
Central Michigan,991,2177,305,609,908,419,1321,425
Charleston Southern,926,2156,324,398,588,407,1277,441
Charlotte,598,1442,191,389,524,199,892,418
Chattanooga,833,1881,290,312,457,278,1095,409
Chicago State,718,1752,141,393,581,249,995,512
Cincinnati NCAA,872,2018,232,534,758,442,1264,365
Citadel,899,2011,370,385,523,322,1107,386
Clemson,833,1857,217,456,623,309,1204,450
Cleveland State,799,1834,303,399,585,303,1093,412
Coastal Carolina,899,1986,284,559,778,376,1256,472
Colgate NCAA,955,1995,320,418,563,322,1240,456
College of Charleston,878,1818,227,470,615,260,1060,347
Colorado State,866,1818,259,402,579,256,1080,372
Colorado,924,2036,230,570,757,363,1352,479
Columbia,778,1720,237,266,377,255,985,366
Connecticut,874,1959,252,436,641,380,1167,427
Coppin State,710,1827,240,458,689,314,1218,555
Cornell,754,1705,243,398,551,191,1015,414
Creighton,980,2044,372,395,582,288,1196,464
Dartmouth,791,1750,264,314,436,246,1020,361
Davidson,852,1893,312,393,525,264,1185,378
Dayton,902,1789,205,397,575,261,1145,414
Delaware State,695,1963,234,332,489,378,1144,435
Delaware,830,1808,282,410,564,254,1083,378
Denver,755,1723,227,349,460,275,1041,408
DePaul,1009,2143,241,562,773,396,1347,488
Detroit Mercy,784,1874,294,417,581,336,1019,355
Drake,908,1943,279,468,618,279,1214,449
Drexel,874,1900,237,440,584,312,1126,377
Duke NCAA,1157,2418,278,551,803,495,1567,488
Duquesne,810,1894,271,460,663,379,1133,451
East Carolina,749,1791,155,435,638,317,1061,416
East Tennessee State,1004,2067,274,425,634,442,1351,483
Eastern Illinois,826,1912,272,375,545,347,1147,427
Eastern Kentucky,902,2125,272,486,683,362,1167,447
Eastern Michigan,818,1823,187,380,604,400,1155,442
Eastern Washington,876,2040,310,398,546,299,1192,401
Elon,812,1862,335,307,443,265,1082,413
Evansville,747,1776,264,476,660,215,1095,416
Fairfield,761,1755,259,291,420,273,968,436
Fairleigh Dickinson NCAA,921,1939,269,509,702,323,1155,477
Florida A&M,719,1640,180,309,503,288,991,499
Florida Atlantic,809,1971,290,414,551,366,1296,485
Florida Gulf Coast,809,1787,269,393,588,272,1064,479
Florida International,986,2239,279,547,855,367,1217,477
Florida State NCAA,960,2171,272,579,778,418,1391,492
Florida NCAA,857,2015,291,435,603,375,1201,420
Fordham,759,1890,276,314,462,305,1082,345
Fresno State,847,1866,342,412,572,300,1137,400
Furman,930,1962,338,364,508,326,1171,407
Gardner-Webb NCAA,955,1962,281,527,741,271,1190,407
George Mason,825,1855,210,454,634,323,1166,428
George Washington,745,1842,196,411,600,274,1116,413
Georgetown,894,2017,269,568,771,350,1299,443
Georgia Southern,1012,2028,204,498,720,316,1190,451
Georgia State NCAA,903,1968,330,462,694,273,1110,391
Georgia Tech,755,1714,176,405,588,262,1074,459
Georgia,776,1761,210,512,726,357,1215,506
Gonzaga NCAA,1177,2239,287,602,791,354,1443,394
Grambling,834,1846,223,535,781,307,1287,536
Grand Canyon,907,2006,257,487,666,350,1238,411
Green Bay,1106,2413,303,575,818,376,1406,500
Hampton,966,2236,291,622,790,363,1370,379
Hartford,848,1862,322,459,619,278,1050,401
Harvard,787,1711,260,388,538,288,1119,491
Hawaii,788,1746,266,399,576,278,1054,368
High Point,763,1719,180,409,605,363,1183,406
Hofstra,998,2055,308,615,767,305,1170,342
Holy Cross,848,1834,237,283,424,220,916,350
Houston Baptist,865,1896,200,535,793,409,1142,442
Houston NCAA,982,2203,333,490,697,448,1502,410
Howard,937,2163,244,566,780,396,1253,427
Idaho State,779,1742,274,366,498,275,975,360
Idaho,778,1764,251,367,507,258,1061,433
Illinois-Chicago,865,1883,303,358,525,271,1106,457
Illinois State,813,1887,244,387,540,298,1139,417
Illinois,862,2001,259,415,591,351,1091,435
Incarnate Word,711,1527,174,448,553,204,845,504
Indiana State,757,1719,178,454,621,250,1007,402
Indiana,919,2009,211,455,695,341,1272,433
Iona NCAA,857,1897,297,521,699,283,1152,406
Iowa State NCAA,974,2047,294,450,615,327,1230,379
Iowa NCAA,914,2006,285,627,849,357,1246,427
Purdue-Fort Wayne,991,2059,360,386,557,271,1140,395
IUPUI,891,1969,234,491,699,403,1233,462
Jackson State,717,1774,155,385,607,331,1125,436
Jacksonville State,953,2063,200,468,630,400,1310,440
Jacksonville,889,1953,213,394,582,330,1163,463
James Madison,821,1859,243,437,607,345,1123,420
Kansas State NCAA,806,1878,241,383,574,320,1137,385
Kansas NCAA,989,2128,260,487,691,374,1376,472
Kennesaw State,742,1945,136,410,590,372,1163,437
Kent State,878,2032,261,464,641,412,1185,378
Kentucky NCAA,978,2050,215,635,859,427,1428,466
La Salle,719,1798,259,394,512,328,1060,435
Lafayette,802,1786,280,325,437,233,1004,402
Lamar,902,1976,228,565,823,446,1282,473
Lehigh,856,1775,287,480,620,232,1105,418
Liberty NCAA,963,1977,322,406,524,270,1174,395
Lipscomb,1071,2230,327,607,801,329,1378,489
Cal State Long Beach,877,2031,217,574,831,377,1263,479
Long Island University,822,1880,277,452,643,321,1196,471
Longwood,803,1875,333,468,639,284,1194,477
Louisiana,901,2026,283,527,710,363,1142,423
Louisiana-Monroe,922,2029,353,576,737,317,1176,398
Louisiana State NCAA,988,2162,236,603,802,460,1355,452
Louisiana Tech,840,1928,253,453,690,368,1204,386
Louisville NCAA,854,1967,294,534,687,345,1297,412
Loyola (IL),831,1687,206,363,545,190,1013,407
Loyola Marymount,817,1800,163,481,645,314,1098,425
Loyola (MD),842,1836,210,438,617,292,997,444
Maine,747,1728,201,293,452,280,1015,460
Manhattan,651,1608,219,312,534,326,1026,487
Marist,739,1647,245,363,530,241,967,387
Marquette NCAA,893,1969,319,524,692,331,1292,467
Marshall,1047,2367,362,522,723,319,1260,453
Maryland-Baltimore County,820,1893,261,395,573,296,1145,428
Maryland-Eastern Shore,666,1705,172,329,489,264,989,431
Maryland NCAA,858,1909,247,466,627,378,1336,437
Massachusetts-Lowell,875,1852,246,460,639,293,1115,447
Massachusetts,808,1831,256,391,574,342,1123,445
McNeese State,760,1676,168,461,647,310,1054,450
Memphis,1013,2238,260,596,835,436,1358,538
Mercer,787,1746,228,446,648,307,1057,407
Miami (FL),805,1851,268,419,570,291,1061,372
Miami (OH),777,1847,269,444,626,353,1190,413
Michigan State NCAA,1071,2230,319,564,749,414,1579,493
Michigan NCAA,941,2102,287,406,579,299,1307,334
Middle Tennessee,778,1858,212,373,551,382,1228,512
Milwaukee,765,1820,237,379,508,288,1094,382
Minnesota NCAA,887,2039,191,578,848,402,1314,418
Mississippi State NCAA,936,1982,292,464,647,393,1215,451
Mississippi Valley State,730,1923,172,426,647,378,1165,415
Mississippi NCAA,876,1906,272,461,589,322,1128,416
Missouri-Kansas City,774,1794,259,413,590,261,966,391
Missouri State,774,1714,224,434,627,270,1000,385
Missouri,758,1764,264,370,526,345,1130,448
Monmouth,794,1915,168,530,773,360,1224,502
Montana State,858,1882,306,480,651,292,1083,394
Montana NCAA,975,1983,287,428,621,293,1176,416
Morehead State,855,1993,260,461,654,357,1177,402
Morgan State,758,1920,168,477,669,397,1078,401
Mount St. Mary's,733,1755,223,403,594,293,1036,410
Murray State NCAA,988,2007,258,493,673,351,1247,401
Navy,732,1785,208,389,544,359,1160,437
Omaha,950,1998,282,341,473,273,1047,304
Nebraska,916,2133,270,484,694,379,1278,345
Nevada-Las Vegas,791,1852,251,443,647,408,1204,401
Nevada NCAA,924,1999,297,578,816,325,1274,352
New Hampshire,623,1656,261,235,385,260,986,356
New Mexico State NCAA,962,2092,326,484,714,445,1343,419
New Mexico,814,1927,292,523,745,351,1199,455
New Orleans,862,1941,189,471,681,393,1166,517
Niagara,795,1887,265,463,629,315,1143,390
Nicholls State,807,1914,324,322,418,280,1041,386
NJIT,849,1913,246,528,732,250,1178,421
Norfolk State,900,2079,282,570,803,366,1318,523
North Alabama,744,1914,240,417,619,351,1170,435
North Carolina-Asheville,655,1627,223,324,437,298,931,456
North Carolina A&T,825,1797,227,364,548,291,1059,417
North Carolina Central NCAA,874,1922,221,460,641,399,1265,515
North Carolina-Greensboro,997,2184,280,464,666,399,1251,423
North Carolina State,1061,2319,292,468,661,486,1390,449
North Carolina-Wilmington,880,1986,260,493,673,387,1221,436
North Carolina NCAA,1118,2410,312,541,728,477,1589,473
North Dakota State NCAA,874,1926,332,476,613,229,1105,368
North Dakota,822,1771,241,335,482,233,1009,380
North Florida,902,2014,308,373,539,363,1252,536
North Texas,831,1910,284,356,532,368,1244,443
Northeastern NCAA,880,1848,328,476,634,237,1075,381
Northern Arizona,785,1819,259,433,614,290,1055,372
Northern Colorado,849,1837,307,445,633,309,1128,398
Northern Illinois,940,1995,229,397,543,304,1179,404
Northern Iowa,769,1847,276,401,537,262,1115,393
Northern Kentucky NCAA,979,2047,306,483,725,364,1298,441
Northwestern State,725,1790,190,411,604,352,1103,496
Northwestern,735,1827,233,405,551,278,1086,349
Notre Dame,776,1973,272,442,594,370,1208,306
Oakland,864,1859,314,492,663,275,1063,426
Ohio State NCAA,839,1931,264,477,650,328,1215,438
Ohio,803,1838,187,381,602,332,1152,448
Oklahoma State,760,1796,280,378,549,295,1093,386
Oklahoma NCAA,883,1975,226,431,618,305,1263,401
Old Dominion NCAA,823,2026,264,388,585,418,1365,408
Oral Roberts,854,1874,266,340,492,335,1147,447
Oregon State,800,1728,203,472,636,310,1091,384
Oregon NCAA,958,2126,295,450,624,361,1307,442
Pacific,710,1681,198,520,698,285,1039,423
Penn State,791,1898,222,425,613,382,1174,399
Pennsylvania,821,1810,282,326,511,270,1101,395
Pepperdine,865,1949,313,529,696,290,1085,432
Pittsburgh,769,1841,225,543,779,383,1211,448
Portland State,856,2017,238,525,748,491,1282,449
Portland,707,1708,216,448,668,233,1032,425
Prairie View NCAA,903,2061,225,596,875,392,1151,445
Presbyterian,966,2150,394,491,674,324,1248,358
Princeton,685,1666,207,371,502,272,1016,354
Providence,835,1973,225,533,771,399,1241,445
Purdue NCAA,967,2145,365,461,641,421,1341,381
Quinnipiac,739,1730,348,468,646,311,1111,415
Radford,893,1938,285,369,515,335,1170,358
Rhode Island,821,1914,172,479,704,375,1194,405
Rice,795,1867,277,500,729,316,1221,438
Richmond,849,1800,251,365,552,196,957,336
Rider,847,1893,222,465,755,363,1144,415
Robert Morris,861,1991,280,446,638,373,1178,507
Rutgers,771,1842,191,372,584,391,1210,408
Sacramento State,806,1800,175,410,592,308,1050,404
Sacred Heart,885,1926,243,545,722,354,1231,465
Saint Francis (PA),885,2035,254,493,698,430,1246,402
Saint Joseph's,793,1943,280,462,615,258,1145,305
Saint Louis NCAA,855,2052,205,484,809,492,1428,464
Saint Mary's (CA) NCAA,899,1905,253,412,555,329,1180,355
Saint Peter's,707,1639,184,414,570,293,1032,488
Sam Houston State,889,2011,308,390,518,369,1191,413
Samford,921,1951,254,487,666,316,1225,463
San Diego State,845,1940,261,486,679,346,1228,424
San Diego,914,2002,284,479,641,290,1238,466
San Francisco,864,1851,258,372,568,340,1138,321
San Jose State,713,1765,210,406,620,323,1130,484
Santa Clara,735,1653,239,406,567,242,1026,433
Savannah State,825,2080,351,359,531,383,1188,478
Seattle,852,1945,238,478,668,336,1221,403
Seton Hall NCAA,888,2021,240,492,697,361,1213,423
Siena,772,1779,288,299,440,248,973,321
South Alabama,867,1883,285,459,669,288,1094,456
South Carolina State,811,1891,193,573,772,376,1137,493
South Carolina Upstate,775,1872,269,350,492,305,1051,440
South Carolina,806,1907,242,473,694,383,1160,433
South Dakota State,984,1965,327,494,635,251,1259,388
South Dakota,729,1664,227,433,585,219,942,324
South Florida,911,2120,272,658,1018,496,1483,604
Southeast Missouri State,796,1809,266,358,519,284,1081,447
Southeastern Louisiana,765,1735,235,459,640,346,1117,536
Southern California,937,2039,281,363,563,324,1188,392
SIU Edwardsville,794,1898,201,476,677,351,1079,438
Southern Illinois,802,1720,213,377,550,289,1081,447
Southern Methodist,833,1884,263,374,523,365,1135,350
Southern Mississippi,899,1929,275,321,489,274,1178,345
Southern Utah,881,1997,272,539,757,282,1250,466
Southern,752,1710,180,393,588,313,980,511
St. Bonaventure,821,1914,208,400,539,333,1183,421
St. Francis (NY),841,1989,270,393,580,346,1191,413
St. John's (NY) NCAA,944,2100,289,446,620,264,1120,357
Stanford,808,1783,207,432,643,322,1147,467
Stephen F. Austin,745,1696,201,414,607,313,1008,442
Stetson,794,1962,215,348,503,359,1110,394
Stony Brook,815,1937,233,501,695,410,1348,478
Syracuse NCAA,808,1907,274,480,701,363,1174,423
Temple NCAA,873,1998,247,472,649,316,1136,368
Tennessee-Martin,854,1915,250,398,528,351,1062,418
Tennessee State,751,1739,240,440,628,317,1032,497
Tennessee Tech,742,1784,213,407,645,330,1122,517
Tennessee NCAA,1106,2231,262,561,744,379,1391,412
Texas A&M-Corpus Christi,774,1803,202,376,541,349,1158,456
Texas A&M,806,1842,204,437,631,372,1195,444
Texas-Arlington,781,1908,234,488,659,372,1235,467
Texas Christian,990,2168,281,469,688,395,1347,499
Texas-El Paso,639,1592,199,382,578,285,1070,466
Texas-Rio Grande Valley,895,2139,203,641,923,358,1215,471
Texas-San Antonio,896,2068,294,395,536,323,1216,402
Texas Southern,1083,2379,276,660,988,467,1503,589
Texas State,876,1971,244,474,694,409,1291,455
Texas Tech NCAA,990,2110,277,508,694,315,1297,457
Texas,929,2146,325,445,637,358,1264,401
Toledo,901,1990,325,410,531,327,1281,402
Towson,810,1860,180,370,532,389,1184,390
Troy,773,1719,236,397,550,277,1021,408
Tulane,733,1783,213,403,585,298,1131,467
Tulsa,776,1732,222,522,751,239,1119,404
UCLA,919,2012,256,486,768,380,1361,467
Utah State NCAA,959,2038,274,559,747,377,1405,449
Utah Valley,930,1929,283,554,764,311,1271,487
Utah,805,1735,298,435,616,317,1096,409
Valparaiso,802,1783,185,416,595,294,1115,439
Vanderbilt,736,1750,230,478,710,325,1139,454
Vermont NCAA,864,1887,273,507,678,304,1194,377
Villanova NCAA,884,2019,380,506,695,368,1253,388
Virginia Commonwealth NCAA,820,1872,235,469,669,358,1208,458
VMI,843,1974,323,424,581,280,1110,390
Virginia Tech NCAA,893,1900,327,461,606,310,1142,392
Virginia NCAA,974,2056,321,445,598,342,1326,342
Wagner,655,1696,236,428,575,378,1095,414
Wake Forest,714,1812,197,494,681,399,1174,417
Washington State,833,1861,301,426,564,276,1076,440
Washington NCAA,883,1956,273,472,679,334,1129,479
Weber State,920,1934,249,528,708,220,1177,382
West Virginia,901,2181,269,584,849,519,1425,557
Western Carolina,792,1744,296,424,628,303,1135,577
Western Illinois,818,1860,241,321,440,254,1100,353
Western Kentucky,853,1910,199,524,724,338,1256,466
Western Michigan,774,1822,228,470,680,345,1197,490
Wichita State,929,2277,276,475,655,452,1417,446
William & Mary,841,1773,254,385,576,251,1057,390
Winthrop,855,1878,372,417,565,330,1232,456
Wisconsin NCAA,874,1945,241,344,531,283,1197,327
Wofford NCAA,1044,2132,385,406,577,365,1232,377
Wright State,885,2028,281,510,692,382,1229,402
Wyoming,690,1656,248,477,660,167,983,450
Xavier,922,1977,245,437,644,371,1281,450
Yale NCAA,893,1812,230,411,557,259,1157,392
Youngstown State,879,2057,303,354,505,418,1207,423
