School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV,Team_Id,wins
Oklahoma 2005,908,1907,214,450,652,428,1172,449,1328,1
Oklahoma St 2005,1002,1953,166,528,760,393,1253,468,1329,2
Pacific 2005,764,1633,195,549,746,304,1101,471,1334,1
S Illinois 2005,787,1775,185,372,540,393,1057,360,1356,1
Texas Tech 2005,922,1985,125,521,703,385,1153,424,1403,2
UAB 2005,882,2006,213,437,656,401,1119,431,1412,1
Utah 2005,768,1630,196,402,556,355,1140,463,1428,2
Vermont 2005,734,1739,203,374,551,360,1126,387,1436,1
Villanova 2005,801,1840,225,509,692,463,1193,409,1437,2
Wake Forest 2005,882,1854,236,590,829,417,1148,457,1448,1
Washington 2005,890,1911,201,562,788,382,1103,472,1449,2
West Virginia 2005,868,1930,319,446,601,340,1065,412,1452,3
WI Milwaukee 2005,831,1859,262,476,677,421,1149,435,1454,2
Wisconsin 2005,754,1687,190,492,684,347,1049,320,1458,3
Alabama 2006,758,1662,174,488,689,389,1135,421,1104,1
Arizona 2006,909,2037,142,473,667,453,1140,437,1112,1
Boston College 2006,949,1958,211,562,833,466,1277,472,1130,2
Bradley 2006,848,1933,185,478,666,419,1241,497,1133,2
Bucknell 2006,726,1560,196,466,670,308,1032,474,1137,1
Connecticut 2006,988,2088,188,617,874,533,1488,489,1163,3
Duke 2006,979,2011,274,689,905,350,1204,496,1181,2
Florida 2006,1061,2120,289,641,862,421,1402,561,1196,6
G Washington 2006,845,1814,182,488,755,421,1143,420,1203,1
George Mason 2006,897,1863,206,429,646,352,1221,449,1206,4
Georgetown 2006,787,1682,223,380,538,354,1079,381,1207,2
Gonzaga 2006,897,1879,182,667,853,411,1239,434,1211,2
Illinois 2006,848,1853,241,374,582,403,1179,406,1228,1
Indiana 2006,797,1730,276,361,523,319,1053,446,1231,1
Kentucky 2006,903,2020,265,406,601,449,1265,464,1246,1
LSU 2006,972,2092,147,542,786,496,1447,555,1261,4
Memphis 2006,1034,2291,277,616,903,568,1528,575,1272,3
Monmouth NJ 2006,787,1785,217,400,597,296,1114,510,1284,1
Montana 2006,876,1781,228,469,653,348,1096,431,1285,1
NC State 2006,793,1704,288,509,678,284,1050,434,1301,1
North Carolina 2006,863,1809,215,519,733,432,1237,512,1314,1
Northwestern LA 2006,914,1981,226,519,779,458,1224,535,1322,1
Ohio St 2006,833,1791,262,435,606,321,1088,379,1326,1
Pittsburgh 2006,840,1842,206,505,729,422,1281,452,1338,1
Tennessee 2006,859,1852,264,431,615,352,1005,386,1397,1
Texas 2006,983,2132,269,546,751,518,1498,498,1400,3
Texas A&M 2006,725,1627,203,477,702,325,993,416,1401,1
UCLA 2006,939,1987,236,528,764,429,1303,562,1417,5
Villanova 2006,809,1942,288,543,717,459,1198,370,1437,3
Washington 2006,982,2087,220,522,697,475,1232,486,1449,2
West Virginia 2006,835,1875,337,327,439,258,915,287,1452,2
WI Milwaukee 2006,797,1832,204,496,719,452,1185,421,1454,1
Wichita St 2006,839,1903,237,507,700,425,1317,449,1455,2
Boston College 2007,842,1763,196,573,791,394,1142,455,1130,1
Butler 2007,780,1792,321,553,728,326,1068,341,1139,2
Florida 2007,1125,2138,297,646,936,447,1504,565,1196,6
Georgetown 2007,923,1826,235,474,667,409,1250,497,1207,4
Indiana 2007,783,1755,252,428,603,375,1082,396,1231,1
Kansas 2007,1106,2241,231,535,811,486,1507,539,1242,3
Kentucky 2007,890,1868,231,485,690,370,1235,493,1246,1
Louisville 2007,845,1946,250,493,727,456,1249,434,1257,1
Maryland 2007,971,2032,196,547,787,437,1325,544,1268,1
Memphis 2007,1024,2249,278,592,953,550,1468,493,1272,3
Michigan St 2007,806,1718,182,482,671,394,1217,521,1277,1
Nevada 2007,949,1961,253,481,636,399,1300,451,1305,1
Niagara 2007,889,2125,274,602,824,517,1342,473,1310,1
North Carolina 2007,1187,2379,215,669,940,522,1551,524,1314,3
Ohio St 2007,1029,2178,287,560,797,433,1390,443,1326,5
Oregon 2007,963,2131,350,531,698,432,1273,461,1332,3
Pittsburgh 2007,961,2035,229,486,735,445,1320,441,1338,2
Purdue 2007,843,1834,219,471,695,388,1121,475,1345,1
S Illinois 2007,762,1702,224,518,748,346,1076,504,1356,2
Tennessee 2007,981,2189,327,542,830,473,1254,496,1397,2
Texas 2007,963,2164,308,626,850,482,1391,434,1400,1
Texas A&M 2007,908,1823,215,539,753,345,1209,415,1401,2
UCLA 2007,923,1922,240,417,630,386,1158,440,1417,4
UNLV 2007,979,2202,289,525,733,460,1293,410,1424,2
USC 2007,946,1988,207,557,779,349,1277,540,1425,2
VA Commonwealth 2007,901,1971,244,580,797,427,1165,394,1433,1
Vanderbilt 2007,904,1984,317,469,643,346,1146,422,1435,2
Virginia 2007,812,1860,257,582,784,422,1248,437,1438,1
Virginia Tech 2007,886,1894,163,493,747,366,1131,371,1439,1
Washington St 2007,826,1777,196,425,593,271,1043,355,1450,1
Winthrop 2007,923,1935,278,421,675,422,1279,445,1457,1
Wisconsin 2007,867,1886,210,583,848,404,1258,407,1458,1
Xavier 2007,849,1784,269,628,847,367,1146,430,1462,1
Arkansas 2008,936,2001,207,514,758,446,1274,531,1116,1
Butler 2008,776,1729,319,468,635,308,1016,352,1139,1
Davidson 2008,1032,2199,328,411,573,417,1302,426,1172,3
Duke 2008,964,2084,308,594,852,426,1255,462,1181,1
Georgetown 2008,855,1744,269,388,593,335,1190,458,1207,1
Kansas 2008,1176,2314,271,598,852,482,1547,529,1242,6
Kansas St 2008,916,2067,210,532,774,539,1362,501,1243,1
Louisville 2008,932,2011,272,475,734,413,1338,491,1257,3
Marquette 2008,929,2082,246,554,785,474,1287,451,1266,1
Memphis 2008,1143,2454,302,608,991,565,1620,470,1272,5
Miami FL 2008,867,1985,236,572,766,433,1293,454,1274,1
Michigan St 2008,949,1976,179,487,661,440,1330,490,1277,2
Mississippi St 2008,885,1922,235,484,749,410,1385,509,1280,1
Mt St Mary's 2008,822,1856,204,505,718,345,1152,486,1291,1
North Carolina 2008,1250,2564,216,738,975,605,1695,560,1314,4
Notre Dame 2008,914,2015,274,506,686,436,1371,429,1323,1
Oklahoma 2008,831,1880,220,496,728,391,1240,451,1328,1
Pittsburgh 2008,997,2185,225,512,768,533,1399,445,1338,1
Purdue 2008,806,1900,253,502,705,389,1124,436,1345,1
San Diego 2008,868,1925,177,452,673,384,1206,538,1360,1
Siena 2008,928,2058,239,518,752,390,1148,385,1373,1
Stanford 2008,901,2008,199,552,795,478,1409,442,1390,2
Tennessee 2008,1035,2258,312,564,856,501,1358,474,1397,2
Texas 2008,1032,2285,309,495,725,496,1448,359,1400,3
Texas A&M 2008,909,1945,211,519,820,424,1402,458,1401,1
UCLA 2008,1029,2164,214,595,813,492,1432,491,1417,4
UNLV 2008,844,1999,264,488,653,356,1209,379,1424,1
Villanova 2008,868,2013,242,569,783,457,1257,503,1437,2
WKU 2008,993,2106,270,529,755,455,1262,514,1443,2
Washington St 2008,815,1716,214,481,661,274,1044,358,1450,2
West Virginia 2008,983,2169,264,539,782,453,1332,413,1452,2
Wisconsin 2008,841,1872,212,527,747,419,1292,438,1458,2
Xavier 2008,936,1973,282,626,836,412,1322,480,1462,3
Arizona 2009,897,1892,212,523,709,387,1183,442,1112,2
Arizona St 2009,825,1718,288,490,665,288,1085,401,1113,1
Cleveland St 2009,882,2043,180,511,729,441,1267,454,1156,1
Connecticut 2009,996,2102,165,662,976,511,1559,458,1163,4
Dayton 2009,831,1972,190,487,752,484,1328,475,1173,1
Duke 2009,971,2186,267,658,904,490,1348,454,1181,2
Gonzaga 2009,967,1982,251,499,696,345,1276,386,1211,2
Kansas 2009,945,1979,217,567,782,421,1371,508,1242,2
Louisville 2009,1001,2189,305,441,687,464,1395,508,1257,3
LSU 2009,937,2093,213,530,740,475,1365,425,1261,1
Marquette 2009,914,2023,243,668,918,425,1247,408,1266,1
Maryland 2009,924,2179,201,463,611,464,1274,428,1268,1
Memphis 2009,979,2176,222,599,868,498,1452,464,1272,2
Michigan 2009,812,1910,305,412,544,336,1087,402,1276,1
Michigan St 2009,962,2135,201,612,877,533,1482,532,1277,5
Missouri 2009,1124,2381,263,585,871,486,1393,449,1281,3
Morehead St 2009,865,1978,188,593,823,498,1400,557,1287,1
North Carolina 2009,1205,2509,264,739,983,556,1594,472,1314,6
Oklahoma 2009,982,1997,242,627,929,435,1402,500,1328,3
Oklahoma St 2009,948,2059,327,607,812,346,1223,431,1329,1
Pittsburgh 2009,1040,2174,225,482,713,533,1433,436,1338,3
Purdue 2009,914,2071,244,483,687,363,1271,426,1345,2
Siena 2009,1007,2157,184,511,769,438,1273,462,1373,1
Syracuse 2009,1110,2277,256,570,884,482,1505,583,1393,2
Texas 2009,917,2063,166,532,797,496,1359,442,1400,1
Texas A&M 2009,822,1831,202,594,856,422,1249,432,1401,1
UCLA 2009,967,1973,262,446,616,395,1151,440,1417,1
USC 2009,872,1843,129,524,778,409,1247,487,1425,1
Villanova 2009,990,2193,247,692,919,477,1449,505,1437,4
WKU 2009,871,1929,266,446,647,432,1251,452,1443,1
Washington 2009,977,2136,146,650,929,532,1437,515,1449,1
Wisconsin 2009,735,1686,213,423,583,317,1020,330,1458,1
Xavier 2009,847,1846,239,575,851,420,1378,511,1462,2
Ark Pine Bluff 2010,725,1778,141,575,861,422,1286,569,1115,1
Baylor 2010,993,2040,255,530,731,443,1408,491,1124,3
Butler 2010,845,1911,260,661,896,353,1241,456,1139,5
BYU 2010,1025,2120,292,650,823,367,1332,417,1140,1
California 2010,966,2028,228,543,717,395,1241,421,1143,1
Cornell 2010,913,1894,326,393,538,349,1149,414,1165,2
Duke 2010,1049,2375,301,682,899,569,1560,429,1181,6
Georgia Tech 2010,948,2064,213,512,779,464,1430,574,1210,1
Gonzaga 2010,912,1856,182,608,916,358,1286,444,1211,1
Kansas 2010,1033,2111,262,609,871,468,1457,470,1242,1
Kansas St 2010,981,2182,253,734,1098,559,1437,529,1243,3
Kentucky 2010,1066,2228,231,649,971,538,1584,538,1246,3
Maryland 2010,966,2052,195,502,689,421,1270,383,1268,1
Michigan St 2010,974,2068,187,523,764,487,1426,514,1277,4
Missouri 2010,926,2104,258,517,714,441,1200,432,1281,1
Murray St 2010,978,1961,226,571,821,439,1319,527,1293,1
New Mexico 2010,887,2023,273,608,909,458,1347,387,1307,1
Northern Iowa 2010,747,1741,233,489,645,333,1130,372,1320,2
Ohio 2010,925,2153,278,635,883,443,1371,473,1325,1
Ohio St 2010,983,1999,276,498,716,325,1234,413,1326,2
Old Dominion 2010,922,2061,166,405,625,540,1394,457,1330,1
Pittsburgh 2010,809,1811,181,537,775,420,1269,421,1338,1
Purdue 2010,867,1957,187,546,755,351,1170,381,1345,2
St Mary's CA 2010,944,1950,284,496,652,370,1244,394,1388,2
Syracuse 2010,1042,2021,244,504,745,417,1337,532,1393,2
Tennessee 2010,991,2174,218,520,775,441,1353,490,1397,3
Texas A&M 2010,813,1846,210,590,892,400,1252,417,1401,1
Villanova 2010,899,1962,252,650,861,441,1272,452,1437,1
Wake Forest 2010,811,1869,134,501,762,463,1306,471,1448,1
Washington 2010,1004,2212,191,652,905,476,1364,460,1449,2
West Virginia 2010,942,2190,257,611,868,585,1467,451,1452,4
Wisconsin 2010,776,1750,246,416,568,320,1056,289,1458,1
Xavier 2010,961,2082,250,621,873,444,1415,452,1462,2
Arizona 2011,969,2064,296,671,899,408,1319,484,1112,3
Butler 2011,919,2122,289,580,799,431,1337,416,1139,5
BYU 2011,1019,2267,312,662,865,420,1425,404,1140,2
Cincinnati 2011,848,1939,220,496,742,454,1237,401,1153,1
Clemson 2011,810,1827,217,493,703,384,1177,449,1155,1
Connecticut 2011,1053,2429,234,627,822,570,1626,466,1163,6
Duke 2011,1040,2206,291,622,826,446,1399,447,1181,2
Florida 2011,968,2083,233,498,744,467,1384,452,1196,3
Florida St 2011,827,1903,212,482,725,422,1332,541,1199,2
George Mason 2011,876,1861,227,495,718,364,1188,376,1206,1
Gonzaga 2011,932,1947,203,617,810,398,1314,474,1211,1
Illinois 2011,894,1910,232,393,539,342,1178,434,1228,1
Kansas 2011,1114,2193,271,585,862,449,1475,507,1242,3
Kansas St 2011,849,1939,237,542,828,490,1280,498,1243,1
Kentucky 2011,1002,2183,281,560,789,445,1420,406,1246,4
Marquette 2011,973,2094,191,645,927,457,1329,455,1266,2
Michigan 2011,847,1889,283,351,502,289,1115,351,1276,1
Morehead St 2011,851,1874,204,506,751,484,1311,525,1287,1
North Carolina 2011,1044,2317,190,590,878,525,1578,493,1314,3
Notre Dame 2011,843,1832,273,599,827,371,1261,364,1323,1
Ohio St 2011,1017,2059,285,535,763,419,1277,375,1326,2
Pittsburgh 2011,886,1866,202,540,805,484,1359,397,1338,1
Purdue 2011,875,1957,235,481,673,380,1207,354,1345,1
Richmond 2011,922,2007,287,446,649,344,1222,383,1350,2
San Diego St 2011,991,2141,223,455,653,472,1396,402,1361,2
Syracuse 2011,936,1983,222,474,713,429,1308,433,1393,1
Temple 2011,868,1943,206,458,656,374,1218,368,1396,1
Texas 2011,954,2099,201,592,905,494,1452,425,1400,1
UCLA 2011,830,1824,173,549,808,405,1265,502,1417,1
UNC Asheville 2011,881,1950,168,576,810,400,1213,506,1421,1
UT San Antonio 2011,802,1871,234,546,774,362,1186,461,1427,1
VA Commonwealth 2011,968,2228,339,589,824,428,1292,452,1433,5
Washington 2011,1061,2260,305,480,712,488,1367,426,1449,1
West Virginia 2011,783,1826,206,531,747,469,1227,397,1452,1
Wisconsin 2011,798,1808,278,436,533,355,1088,258,1458,2
Baylor 2012,1004,2148,259,572,759,470,1280,522,1124,3
BYU 2012,977,2099,233,540,771,381,1223,473,1140,1
Cincinnati 2012,924,2194,260,414,643,489,1225,403,1153,2
Colorado 2012,835,1874,199,560,810,351,1192,468,1160,1
Creighton 2012,975,1935,287,535,737,330,1163,421,1166,1
Florida 2012,976,2106,357,499,700,416,1180,410,1196,3
Florida St 2012,877,1923,216,473,669,398,1169,550,1199,1
Georgetown 2012,811,1743,186,470,673,367,1108,417,1207,1
Gonzaga 2012,823,1740,215,575,803,359,1095,433,1211,1
Indiana 2012,949,1928,229,655,858,383,1130,463,1231,2
Iowa St 2012,847,1888,293,503,731,371,1173,419,1235,1
Kansas 2012,1023,2169,222,597,863,449,1368,506,1242,5
Kansas St 2012,812,1849,183,536,799,471,1129,474,1243,1
Kentucky 2012,1096,2248,225,678,938,472,1445,445,1246,6
Lehigh 2012,902,2030,254,590,768,386,1104,391,1250,1
Louisville 2012,963,2281,233,568,826,518,1423,562,1257,4
Marquette 2012,919,2033,201,599,831,414,1149,461,1266,2
Michigan St 2012,960,2012,200,531,759,420,1302,474,1277,2
Murray St 2012,811,1732,239,551,761,360,1019,458,1293,1
NC State 2012,977,2134,198,545,774,456,1281,470,1301,2
New Mexico 2012,876,1898,264,529,748,395,1216,467,1307,1
Norfolk St 2012,870,1977,198,544,829,421,1186,539,1313,1
North Carolina 2012,1134,2473,194,629,922,570,1592,447,1314,3
Ohio 2012,901,2107,278,517,749,451,1136,481,1325,2
Ohio St 2012,1057,2219,199,600,846,447,1345,449,1326,4
Purdue 2012,889,2019,284,452,689,391,1039,306,1345,1
South Florida 2012,772,1765,169,421,597,374,1115,485,1378,2
St Louis 2012,814,1813,238,470,653,346,994,382,1387,1
Syracuse 2012,1006,2156,233,495,709,459,1181,389,1393,3
VA Commonwealth 2012,837,2040,267,507,740,439,1115,411,1433,1
Vanderbilt 2012,885,1921,307,538,770,361,1125,465,1435,1
Vermont 2012,848,1914,191,528,714,401,1166,445,1436,1
WKU 2012,769,1952,195,539,785,449,1173,534,1443,1
Wisconsin 2012,797,1875,285,425,575,349,1112,320,1458,2
Xavier 2012,899,1986,176,569,819,378,1183,448,1462,2
Arizona 2013,880,1933,269,541,722,393,1172,458,1112,2
Butler 2013,869,1931,239,518,744,419,1213,474,1139,1
California 2013,833,1875,134,418,585,361,1134,417,1143,1
Colorado St 2013,881,1961,180,611,855,493,1297,389,1161,1
Creighton 2013,942,1882,307,489,644,300,1172,443,1166,1
Duke 2013,960,2033,270,588,796,337,1119,383,1181,3
FL Gulf Coast 2013,976,2112,247,497,736,412,1226,545,1195,2
Florida 2013,960,2010,300,422,623,381,1179,401,1196,3
Gonzaga 2013,961,1934,226,548,777,409,1195,393,1211,1
Harvard 2013,677,1425,191,504,697,219,796,399,1217,1
Illinois 2013,858,2084,280,469,646,427,1098,411,1228,1
Indiana 2013,951,1971,257,672,904,439,1270,469,1231,2
Iowa St 2013,962,2111,346,509,696,422,1238,460,1235,1
James Madison 2013,818,1941,211,499,714,365,1064,401,1241,1
Kansas 2013,985,2049,216,596,809,399,1354,517,1242,2
La Salle 2013,871,1931,262,446,605,332,958,390,1247,3
Louisville 2013,1048,2300,230,652,920,531,1385,495,1257,6
Marquette 2013,842,1844,147,551,755,418,1116,471,1266,3
Memphis 2013,976,2071,220,509,771,438,1243,523,1272,1
Miami FL 2013,895,1968,254,465,680,357,1179,377,1274,2
Michigan 2013,1093,2260,296,450,642,416,1246,368,1276,5
Michigan St 2013,882,1921,177,507,710,421,1241,489,1277,2
Minnesota 2013,815,1838,184,523,764,501,1186,467,1278,1
Mississippi 2013,977,2230,238,587,866,466,1251,395,1279,1
NC A&T 2013,776,1927,215,532,809,387,1166,564,1299,1
North Carolina 2013,1023,2321,272,442,655,478,1254,433,1314,1
Ohio St 2013,928,2057,227,516,729,378,1219,377,1326,3
Oregon 2013,944,2110,192,570,809,451,1285,555,1332,2
San Diego St 2013,839,1916,202,476,697,376,1144,410,1361,1
St Louis 2013,808,1812,210,562,798,306,1032,383,1387,1
St Mary's CA 2013,910,1939,273,517,713,422,1199,416,1388,1
Syracuse 2013,1007,2293,233,569,843,560,1380,495,1393,4
Temple 2013,851,1986,243,511,707,381,1057,366,1396,1
VA Commonwealth 2013,1010,2243,281,469,669,479,1155,407,1433,1
Wichita St 2013,954,2166,259,553,791,512,1355,492,1455,4
Albany NY 2014,765,1733,163,546,728,343,1175,428,1107,1
Arizona 2014,996,2123,204,573,870,465,1449,387,1112,3
Baylor 2014,959,2108,280,645,949,525,1456,440,1124,2
Cal Poly SLO 2014,754,1850,218,415,603,377,1096,303,1142,1
Connecticut 2014,971,2163,287,644,829,387,1389,457,1163,6
Creighton 2014,957,1927,356,486,654,293,1192,342,1166,1
Dayton 2014,935,2018,243,558,819,414,1289,442,1173,3
Florida 2014,945,2056,255,582,871,437,1385,418,1196,4
Gonzaga 2014,972,1963,255,562,793,343,1291,419,1211,1
Harvard 2014,786,1691,184,587,811,335,1092,365,1217,1
Iowa St 2014,1062,2239,301,564,814,375,1387,380,1235,2
Kansas 2014,955,1937,189,665,935,416,1336,463,1242,1
Kentucky 2014,1004,2213,203,781,1146,562,1607,469,1246,5
Louisville 2014,1051,2232,288,608,920,503,1396,391,1257,2
Memphis 2014,958,2009,182,516,801,427,1268,449,1272,1
Mercer 2014,982,2061,290,582,791,407,1338,420,1273,1
Michigan 2014,945,1982,319,527,691,316,1160,336,1276,3
Michigan St 2014,1024,2159,307,515,728,395,1400,430,1277,3
N Dakota St 2014,888,1759,176,540,719,307,1081,325,1295,1
NC State 2014,950,2060,160,501,762,422,1239,375,1301,1
North Carolina 2014,953,2057,146,552,882,483,1350,406,1314,1
Oregon 2014,928,1977,259,668,865,356,1159,389,1332,1
Pittsburgh 2014,895,1944,183,613,861,432,1291,373,1338,1
San Diego St 2014,873,2009,186,598,902,470,1364,355,1361,2
SF Austin 2014,922,1992,248,569,800,451,1186,393,1372,1
St Louis 2014,829,1869,190,526,755,345,1231,431,1387,1
Stanford 2014,896,1950,208,616,877,347,1257,409,1390,2
Syracuse 2014,819,1873,167,506,715,446,1200,306,1393,1
Tennessee 2014,927,2048,205,613,852,501,1424,388,1397,3
Texas 2014,905,2095,178,610,909,528,1449,426,1400,1
UCLA 2014,1073,2196,229,628,839,368,1308,379,1417,2
Villanova 2014,870,1907,304,607,848,379,1263,406,1437,1
Virginia 2014,855,1884,206,533,792,379,1312,362,1438,2
Wichita St 2014,896,1942,250,664,916,419,1381,374,1455,1
Wisconsin 2014,927,2019,297,642,861,337,1266,307,1458,4
Arizona 2015,1009,2068,193,700,974,411,1399,419,1112,3
Arkansas 2015,978,2196,238,593,819,470,1290,430,1116,1
Butler 2015,814,1882,192,526,767,408,1239,376,1139,1
Cincinnati 2015,761,1705,167,424,633,383,1178,432,1153,1
Dayton 2015,810,1755,239,580,846,255,1121,415,1173,2
Duke 2015,1099,2191,283,610,873,445,1436,421,1181,6
Georgetown 2015,799,1753,201,541,769,367,1152,415,1207,1
Georgia St 2015,902,1878,174,521,719,322,1116,366,1209,1
Gonzaga 2015,1084,2083,264,557,806,391,1441,397,1211,3
Hampton 2015,796,1959,194,560,859,416,1292,494,1214,1
Iowa 2015,821,1905,192,538,723,422,1274,377,1234,1
Kansas 2015,869,1976,213,610,842,426,1364,463,1242,1
Kentucky 2015,1006,2150,203,685,943,491,1482,408,1246,4
Louisville 2015,878,2048,198,529,792,454,1351,408,1257,3
Maryland 2015,781,1777,258,597,790,314,1223,431,1268,1
Michigan St 2015,1014,2181,294,451,714,436,1458,441,1277,4
Mississippi 2015,848,2003,220,559,723,430,1284,378,1279,1
NC State 2015,895,2054,236,499,727,435,1369,375,1301,2
North Carolina 2015,1099,2309,184,571,814,526,1541,481,1314,2
Northern Iowa 2015,776,1618,257,472,644,255,1071,363,1320,1
Notre Dame 2015,1050,2061,302,561,756,313,1231,357,1323,3
Ohio St 2015,964,1995,236,471,693,387,1241,396,1326,1
Oklahoma 2015,885,2035,236,495,668,389,1332,419,1328,2
Oregon 2015,992,2143,263,466,613,372,1298,421,1332,1
Robert Morris 2015,854,1926,221,485,684,367,1162,467,1352,1
San Diego St 2015,800,1916,189,437,694,439,1270,410,1361,1
UAB 2015,873,2042,202,528,715,434,1322,482,1412,1
UCLA 2015,930,2099,223,507,750,440,1367,430,1417,2
Utah 2015,849,1760,264,534,760,322,1204,407,1428,2
Villanova 2015,916,1951,326,596,815,371,1235,382,1437,1
Virginia 2015,804,1758,170,446,614,358,1232,316,1438,1
West Virginia 2015,872,2138,227,571,863,575,1272,453,1452,2
Wichita St 2015,860,1933,239,501,715,415,1245,327,1455,2
