Season,Team_Id,wins,Team_Id-1,Team_Name
2009,1277,5,1277,Michigan St
2009,1281,3,1281,Missouri
2009,1287,1,1287,Morehead St
2009,1314,6,1314,North Carolina
2009,1328,3,1328,Oklahoma
2009,1329,1,1329,Oklahoma St
2009,1338,3,1338,Pittsburgh
2009,1345,2,1345,Purdue
2009,1373,1,1373,Siena
2009,1393,2,1393,Syracuse
2009,1400,1,1400,Texas
2009,1401,1,1401,Texas A&M
2009,1417,1,1417,UCLA
2009,1425,1,1425,USC
2009,1437,4,1437,Villanova
2009,1443,1,1443,WKU
2009,1449,1,1449,Washington
2009,1458,1,1458,Wisconsin
2009,1462,2,1462,Xavier
2010,1115,1,1115,Ark Pine Bluff
2010,1124,3,1124,Baylor
2010,1139,5,1139,Butler
2010,1140,1,1140,BYU
2010,1143,1,1143,California
2010,1165,2,1165,Cornell
2010,1181,6,1181,Duke
2010,1210,1,1210,Georgia Tech
2010,1211,1,1211,Gonzaga
2010,1242,1,1242,Kansas
2010,1243,3,1243,Kansas St
2010,1246,3,1246,Kentucky
2010,1268,1,1268,Maryland
2010,1277,4,1277,Michigan St
2010,1281,1,1281,Missouri
2010,1293,1,1293,Murray St
2010,1307,1,1307,New Mexico
2010,1320,2,1320,Northern Iowa
2010,1325,1,1325,Ohio
2010,1326,2,1326,Ohio St
2010,1330,1,1330,Old Dominion
2010,1338,1,1338,Pittsburgh
2010,1345,2,1345,Purdue
2010,1388,2,1388,St Mary's CA
2010,1393,2,1393,Syracuse
2010,1397,3,1397,Tennessee
2010,1401,1,1401,Texas A&M
2010,1437,1,1437,Villanova
2010,1448,1,1448,Wake Forest
2010,1449,2,1449,Washington
2010,1452,4,1452,West Virginia
2010,1458,1,1458,Wisconsin
2010,1462,2,1462,Xavier
2011,1112,3,1112,Arizona
2011,1139,5,1139,Butler
2011,1140,2,1140,BYU
2011,1153,1,1153,Cincinnati
2011,1155,1,1155,Clemson
2011,1163,6,1163,Connecticut
2011,1181,2,1181,Duke
2011,1196,3,1196,Florida
2011,1199,2,1199,Florida St
2011,1206,1,1206,George Mason
2011,1211,1,1211,Gonzaga
2011,1228,1,1228,Illinois
2011,1242,3,1242,Kansas
2011,1243,1,1243,Kansas St
2011,1246,4,1246,Kentucky
2011,1266,2,1266,Marquette
2011,1276,1,1276,Michigan
2011,1287,1,1287,Morehead St
2011,1314,3,1314,North Carolina
2011,1323,1,1323,Notre Dame
2011,1326,2,1326,Ohio St
2011,1338,1,1338,Pittsburgh
2011,1345,1,1345,Purdue
2011,1350,2,1350,Richmond
2011,1361,2,1361,San Diego St
2011,1393,1,1393,Syracuse
2011,1396,1,1396,Temple
2011,1400,1,1400,Texas
2011,1417,1,1417,UCLA
2011,1421,1,1421,UNC Asheville
2011,1427,1,1427,UT San Antonio
2011,1433,5,1433,VA Commonwealth
2011,1449,1,1449,Washington
2011,1452,1,1452,West Virginia
2011,1458,2,1458,Wisconsin
2012,1124,3,1124,Baylor
2012,1140,1,1140,BYU
2012,1153,2,1153,Cincinnati
2012,1160,1,1160,Colorado
2012,1166,1,1166,Creighton
2012,1196,3,1196,Florida
2012,1199,1,1199,Florida St
2012,1207,1,1207,Georgetown
2012,1211,1,1211,Gonzaga
2012,1231,2,1231,Indiana
2012,1235,1,1235,Iowa St
2012,1242,5,1242,Kansas
2012,1243,1,1243,Kansas St
2012,1246,6,1246,Kentucky
2012,1250,1,1250,Lehigh
2012,1257,4,1257,Louisville
2012,1266,2,1266,Marquette
2012,1277,2,1277,Michigan St
2012,1293,1,1293,Murray St
2012,1301,2,1301,NC State
2012,1307,1,1307,New Mexico
2012,1313,1,1313,Norfolk St
2012,1314,3,1314,North Carolina
2012,1325,2,1325,Ohio
2012,1326,4,1326,Ohio St
2012,1345,1,1345,Purdue
2012,1378,2,1378,South Florida
2012,1387,1,1387,St Louis
2012,1393,3,1393,Syracuse
2012,1433,1,1433,VA Commonwealth
2012,1435,1,1435,Vanderbilt
2012,1436,1,1436,Vermont
2012,1443,1,1443,WKU
2012,1458,2,1458,Wisconsin
2012,1462,2,1462,Xavier
2013,1112,2,1112,Arizona
2013,1139,1,1139,Butler
2013,1143,1,1143,California
2013,1161,1,1161,Colorado St
2013,1166,1,1166,Creighton
2013,1181,3,1181,Duke
2013,1195,2,1195,FL Gulf Coast
2013,1196,3,1196,Florida
2013,1211,1,1211,Gonzaga
2013,1217,1,1217,Harvard
2013,1228,1,1228,Illinois
2013,1231,2,1231,Indiana
2013,1235,1,1235,Iowa St
2013,1241,1,1241,James Madison
2013,1242,2,1242,Kansas
2013,1247,3,1247,La Salle
2013,1257,6,1257,Louisville
2013,1266,3,1266,Marquette
2013,1272,1,1272,Memphis
2013,1274,2,1274,Miami FL
2013,1276,5,1276,Michigan
2013,1277,2,1277,Michigan St
2013,1278,1,1278,Minnesota
2013,1279,1,1279,Mississippi
2013,1299,1,1299,NC A&T
2013,1314,1,1314,North Carolina
2013,1326,3,1326,Ohio St
2013,1332,2,1332,Oregon
2013,1361,1,1361,San Diego St
2013,1387,1,1387,St Louis
2013,1388,1,1388,St Mary's CA
2013,1393,4,1393,Syracuse
2013,1396,1,1396,Temple
2013,1433,1,1433,VA Commonwealth
2013,1455,4,1455,Wichita St
2014,1107,1,1107,Albany NY
2014,1112,3,1112,Arizona
2014,1124,2,1124,Baylor
2014,1142,1,1142,Cal Poly SLO
2014,1163,6,1163,Connecticut
2014,1166,1,1166,Creighton
2014,1173,3,1173,Dayton
2014,1196,4,1196,Florida
2014,1211,1,1211,Gonzaga
2014,1217,1,1217,Harvard
2014,1235,2,1235,Iowa St
2014,1242,1,1242,Kansas
2014,1246,5,1246,Kentucky
2014,1257,2,1257,Louisville
2014,1272,1,1272,Memphis
2014,1273,1,1273,Mercer
2014,1276,3,1276,Michigan
2014,1277,3,1277,Michigan St
2014,1295,1,1295,N Dakota St
2014,1301,1,1301,NC State
2014,1314,1,1314,North Carolina
2014,1332,1,1332,Oregon
2014,1338,1,1338,Pittsburgh
2014,1361,2,1361,San Diego St
2014,1372,1,1372,SF Austin
2014,1387,1,1387,St Louis
2014,1390,2,1390,Stanford
2014,1393,1,1393,Syracuse
2014,1397,3,1397,Tennessee
2014,1400,1,1400,Texas
2014,1417,2,1417,UCLA
2014,1437,1,1437,Villanova
2014,1438,2,1438,Virginia
2014,1455,1,1455,Wichita St
2014,1458,4,1458,Wisconsin
2015,1112,3,1112,Arizona
2015,1116,1,1116,Arkansas
2015,1139,1,1139,Butler
2015,1153,1,1153,Cincinnati
2015,1173,2,1173,Dayton
2015,1181,6,1181,Duke
2015,1207,1,1207,Georgetown
2015,1209,1,1209,Georgia St
2015,1211,3,1211,Gonzaga
2015,1214,1,1214,Hampton
2015,1234,1,1234,Iowa
2015,1242,1,1242,Kansas
2015,1246,4,1246,Kentucky
2015,1257,3,1257,Louisville
2015,1268,1,1268,Maryland
2015,1277,4,1277,Michigan St
2015,1279,1,1279,Mississippi
2015,1301,2,1301,NC State
2015,1314,2,1314,North Carolina
2015,1320,1,1320,Northern Iowa
2015,1323,3,1323,Notre Dame
2015,1326,1,1326,Ohio St
2015,1328,2,1328,Oklahoma
2015,1332,1,1332,Oregon
2015,1352,1,1352,Robert Morris
2015,1361,1,1361,San Diego St
2015,1412,1,1412,UAB
2015,1417,2,1417,UCLA
2015,1428,2,1428,Utah
2015,1437,1,1437,Villanova
2015,1438,1,1438,Virginia
2015,1452,2,1452,West Virginia
2015,1455,2,1455,Wichita St
2015,1458,5,1458,Wisconsin
2015,1462,2,1462,Xavier
2016,1114,1,1114,Ark Little Rock
2016,1139,1,1139,Butler
2016,1163,1,1163,Connecticut
2016,1181,2,1181,Duke
2016,1195,1,1195,FL Gulf Coast
2016,1211,2,1211,Gonzaga
2016,1218,1,1218,Hawaii
2016,1221,1,1221,Holy Cross
2016,1231,2,1231,Indiana
2016,1234,1,1234,Iowa
2016,1235,2,1235,Iowa St
2016,1242,3,1242,Kansas
2016,1246,1,1246,Kentucky
2016,1268,2,1268,Maryland
2016,1274,2,1274,Miami FL
2016,1276,1,1276,Michigan
2016,1292,1,1292,MTSU
2016,1314,5,1314,North Carolina
2016,1320,1,1320,Northern Iowa
2016,1323,3,1323,Notre Dame
2016,1328,4,1328,Oklahoma
2016,1332,3,1332,Oregon
2016,1344,1,1344,Providence
2016,1372,1,1372,SF Austin
2016,1386,1,1386,St Joseph's PA
2016,1393,4,1393,Syracuse
2016,1401,2,1401,Texas A&M
2016,1428,1,1428,Utah
2016,1433,1,1433,VA Commonwealth
2016,1437,6,1437,Villanova
2016,1438,3,1438,Virginia
2016,1455,2,1455,Wichita St
2016,1458,2,1458,Wisconsin
2016,1462,1,1462,Xavier
2016,1463,1,1463,Yale
