Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
208,North Carolina-Asheville,-5.65,780,1774,233,449,619,352,1120,437
209,North Carolina A&T,-8.02,648,1622,157,431,633,366,1066,483
210,North Carolina Central,-8.67,813,1668,219,433,632,312,1121,414
211,North Carolina-Greensboro,-4.36,838,1895,216,398,613,364,1138,414
212,North Carolina State NCAA,9.72,895,2054,236,499,727,435,1369,375
213,North Carolina-Wilmington,-1.92,810,1834,162,457,677,359,1131,395
214,North Carolina NCAA,11.76,1099,2309,184,571,814,526,1541,481
215,North Dakota State NCAA,-3.63,743,1713,230,425,614,274,1098,325
216,North Dakota,-3.73,713,1637,180,426,628,260,961,373
217,North Florida NCAA,-5.94,897,1910,317,540,747,339,1219,436
218,North Texas,-0.71,726,1678,147,426,677,338,1094,420
219,Northeastern NCAA,-1.34,838,1725,203,518,713,297,1160,483
220,Northern Arizona,-4.13,878,2175,255,595,793,501,1463,447
221,Northern Colorado,-6.21,804,1691,204,430,602,339,978,313
222,Northern Illinois,-0.14,661,1543,149,500,735,373,1039,426
223,Northern Iowa NCAA,2.00,776,1618,257,472,644,255,1071,363
224,Northern Kentucky,-4.49,779,1693,226,333,507,299,1014,348
225,Northwestern State,-4.52,946,2052,264,531,709,372,1106,392
226,Northwestern,7.20,727,1669,228,349,477,277,1052,357
227,Notre Dame NCAA,7.02,1050,2061,302,561,756,313,1231,357
228,Oakland,1.27,857,1854,259,477,695,340,1109,416
229,Ohio State NCAA,7.37,964,1995,236,471,693,387,1241,396
230,Ohio,0.45,727,1678,217,357,486,268,1023,382
231,Oklahoma State NCAA,9.63,733,1667,226,468,645,287,1039,392
232,Oklahoma NCAA,9.94,885,2035,236,495,668,389,1332,419
233,Old Dominion,-0.15,836,1935,207,394,592,438,1267,377
234,Oral Roberts,-1.99,798,1859,205,576,801,363,1157,396
235,Oregon State,4.97,665,1577,160,397,573,293,973,365
236,Oregon NCAA,7.65,992,2143,263,466,613,372,1298,421
237,Pacific,3.31,681,1633,202,432,667,385,1076,391
238,Penn State,7.10,795,1893,227,456,656,354,1201,414
239,Pennsylvania,-1.36,599,1379,155,334,495,258,886,419
240,Pepperdine,2.80,704,1666,145,467,630,300,1062,395
241,Pittsburgh,7.36,835,1866,164,445,650,407,1136,336
242,Portland State,-4.86,723,1645,193,444,598,283,942,324
243,Portland,2.67,810,1825,216,479,668,389,1173,402
244,Prairie View,-8.20,822,1923,177,390,604,388,1072,471
245,Presbyterian,-4.51,741,1656,136,360,546,296,1029,415
246,Princeton,-2.92,673,1455,252,468,658,189,913,366
247,Providence NCAA,9.50,828,1889,171,543,768,411,1228,407
248,Purdue NCAA,7.64,827,1840,195,524,767,409,1249,444
249,Quinnipiac,-3.66,715,1813,165,497,643,491,1361,416
250,Radford,-5.53,892,1946,212,480,695,411,1240,408
251,Rhode Island,2.87,777,1732,146,532,812,362,1183,453
252,Rice,-0.79,679,1615,289,405,548,276,1019,459
253,Richmond,3.77,834,1821,231,414,600,240,1025,346
254,Rider,-3.11,784,1790,200,385,638,357,1131,413
255,Robert Morris NCAA,-3.50,854,1926,221,485,684,367,1162,467
256,Rutgers,8.11,687,1751,152,372,570,359,1118,417
257,Sacramento State,-5.45,841,1729,208,452,614,276,974,355
258,Sacred Heart,-5.97,874,1911,169,443,685,401,1225,439
259,Saint Francis (PA),-4.97,724,1653,226,387,576,267,998,398
260,Saint Joseph's,2.58,688,1704,167,369,600,352,1099,387
261,Saint Louis,2.43,652,1587,172,436,666,290,979,443
262,Saint Mary's (CA),3.78,752,1645,225,412,576,328,1115,375
263,Saint Peter's,-3.92,698,1695,193,492,745,353,1109,413
264,Sam Houston State,-6.03,846,1973,266,634,898,463,1409,455
265,Samford,-5.57,780,1756,204,452,661,326,1015,414
266,San Diego State NCAA,4.24,800,1916,189,437,694,439,1270,410
267,San Diego,3.47,690,1636,192,434,632,321,1016,365
268,San Francisco,2.83,783,1735,203,446,709,340,1113,376
269,San Jose State,1.92,553,1559,196,310,475,272,939,426
270,Santa Clara,4.12,711,1675,222,383,520,296,956,339
271,Savannah State,-6.27,633,1549,102,315,548,328,907,513
272,Seattle,-4.69,740,1674,236,407,612,324,1149,466
273,Seton Hall,7.56,735,1745,213,436,664,391,1123,385
274,Siena,-2.90,748,1736,152,516,727,395,1023,389
275,South Alabama,-3.04,762,1813,214,537,764,360,1175,474
276,South Carolina State,-7.46,706,1846,184,369,612,394,1142,412
277,South Carolina Upstate,-7.50,938,2124,290,413,631,482,1372,390
278,South Carolina,8.24,735,1819,180,496,673,406,1178,424
279,South Dakota State,-3.23,867,1918,280,556,780,337,1254,399
280,South Dakota,-3.48,811,1924,212,475,650,384,1169,372
281,South Florida,2.56,745,1720,136,344,556,343,1084,436
282,Southeast Missouri State,-3.73,742,1686,189,414,621,346,1050,394
283,Southeastern Louisiana,-6.14,807,1760,185,387,582,311,1068,492
284,Southern California,6.15,787,1863,170,399,629,366,1149,446
285,SIU Edwardsville,-4.54,660,1532,198,391,579,292,969,375
286,Southern Illinois,-0.60,681,1626,138,468,667,327,1027,423
287,Southern Methodist NCAA,3.57,832,1750,145,541,770,388,1244,426
288,Southern Mississippi,-0.06,618,1438,183,323,515,248,863,408
289,Southern Utah,-5.48,700,1537,210,401,599,218,920,393
290,Southern,-8.23,801,1895,150,507,775,403,1262,462
291,St. Bonaventure,1.34,733,1723,158,461,653,384,1153,384
292,St. Francis (NY),-6.20,837,2005,195,549,809,521,1361,459
293,St. John's (NY) NCAA,9.04,835,1890,198,475,687,336,1164,352
294,Stanford,7.33,908,2089,246,614,846,428,1363,399
295,Stephen F. Austin NCAA,-4.20,911,1870,262,588,799,413,1176,476
296,Stetson,-6.68,744,1717,193,383,583,297,1041,384
297,Stony Brook,-4.03,835,1999,191,429,647,488,1395,416
298,Syracuse,7.68,763,1775,155,415,629,373,1135,370
299,Temple,3.52,833,2149,235,535,765,453,1410,352
300,Tennessee-Martin,-3.90,855,1838,268,412,582,332,1175,394
301,Tennessee State,-2.38,611,1548,170,401,648,297,1022,446
302,Tennessee Tech,-3.99,768,1741,169,413,609,396,1110,412
303,Tennessee,8.16,725,1706,194,381,551,396,1040,387
304,Texas A&M-Corpus Christi,-6.43,748,1678,165,605,881,333,1101,430
305,Texas A&M,5.91,805,1778,181,445,676,374,1197,410
306,Texas-Arlington,-2.76,779,1773,205,457,679,352,1144,453
307,Texas Christian,5.32,791,1809,150,517,841,445,1214,395
308,Texas-El Paso,-0.51,800,1717,185,497,752,312,1140,406
309,Texas-Rio Grande Valley,-4.68,678,1610,130,441,652,322,1000,417
310,Texas-San Antonio,-2.61,717,1701,191,495,708,387,1071,370
311,Texas Southern NCAA,-6.09,818,1840,185,569,861,394,1193,454
312,Texas State,-3.36,664,1645,159,418,606,315,1003,395
313,Texas Tech,7.20,652,1610,169,476,742,374,1072,442
314,Texas NCAA,9.07,796,1837,212,486,671,422,1351,435
315,Toledo,0.62,863,1837,195,562,757,360,1204,405
316,Towson,-3.80,689,1678,134,522,787,468,1256,423
317,Troy,-5.09,674,1566,192,406,612,316,986,410
318,Tulane,0.32,699,1700,199,376,579,365,1076,397
319,Tulsa,2.81,758,1820,188,484,746,375,1246,389
320,UCLA NCAA,8.27,930,2099,223,507,750,440,1367,430
321,Utah State,0.28,721,1596,233,389,579,215,978,323
322,Utah Valley,-4.87,616,1540,169,357,514,297,989,385
323,Utah NCAA,7.42,849,1760,264,534,760,322,1204,407
324,Valparaiso NCAA,-2.00,837,1836,236,456,676,397,1276,422
325,Vanderbilt,6.22,838,1775,255,541,764,339,1184,452
326,Vermont,-5.52,801,1701,182,495,715,274,1129,442
327,Villanova NCAA,7.55,916,1951,326,596,815,371,1235,382
328,Virginia Commonwealth NCAA,6.10,896,2139,293,524,797,444,1277,383
329,VMI,-3.92,829,2074,342,415,607,434,1178,449
330,Virginia Tech,5.32,779,1747,241,357,558,274,978,386
331,Virginia NCAA,7.81,804,1758,170,446,614,358,1232,316
332,Wagner,-4.99,722,1804,179,429,616,445,1112,420
333,Wake Forest,7.68,762,1809,206,479,751,375,1200,428
334,Washington State,6.08,743,1712,214,489,679,282,1026,367
335,Washington,4.83,765,1747,193,405,593,329,1082,361
336,Weber State,-3.50,641,1518,217,511,683,283,997,402
337,West Virginia NCAA,9.29,872,2138,227,571,863,575,1272,453
338,Western Carolina,-3.56,799,1839,197,456,651,401,1130,435
339,Western Illinois,-2.93,618,1543,188,323,463,207,907,352
340,Western Kentucky,-0.44,793,1824,248,451,690,363,1190,413
341,Western Michigan,0.19,819,1802,236,527,750,338,1108,406
342,Wichita State NCAA,3.68,860,1933,239,501,715,415,1245,327
343,William & Mary,-1.15,834,1726,293,453,617,248,1065,379
344,Winthrop,-7.38,812,1809,251,481,664,332,1127,387
345,Wisconsin NCAA,10.29,1014,2115,288,584,765,383,1338,296
346,Wofford NCAA,-2.98,818,1802,222,473,688,324,1139,379
347,Wright State,-1.14,715,1619,194,365,524,232,902,373
348,Wyoming NCAA,-0.04,747,1619,209,448,638,216,1047,392
349,Xavier NCAA,9.48,956,2011,234,566,775,364,1282,447
350,Yale,-0.87,740,1667,220,464,653,360,1139,406
351,Youngstown State,-1.73,807,1826,208,465,670,315,1055,374
