,Team_Id,wins,School
308,1231,2,Indiana 2012
309,1235,1,Iowa St 2012
310,1242,5,Kansas 2012
311,1243,1,Kansas St 2012
312,1246,6,Kentucky 2012
313,1250,1,Lehigh 2012
314,1257,4,Louisville 2012
315,1266,2,Marquette 2012
316,1277,2,Michigan St 2012
317,1293,1,Murray St 2012
318,1301,2,NC State 2012
319,1307,1,New Mexico 2012
320,1313,1,Norfolk St 2012
321,1314,3,North Carolina 2012
322,1325,2,Ohio 2012
323,1326,4,Ohio St 2012
324,1345,1,Purdue 2012
325,1378,2,South Florida 2012
326,1387,1,St Louis 2012
327,1393,3,Syracuse 2012
328,1433,1,VA Commonwealth 2012
329,1435,1,Vanderbilt 2012
330,1436,1,Vermont 2012
331,1443,1,WKU 2012
332,1458,2,Wisconsin 2012
333,1462,2,Xavier 2012
334,1112,2,Arizona 2013
335,1139,1,Butler 2013
336,1143,1,California 2013
337,1161,1,Colorado St 2013
338,1166,1,Creighton 2013
339,1181,3,Duke 2013
340,1195,2,FL Gulf Coast 2013
341,1196,3,Florida 2013
342,1211,1,Gonzaga 2013
343,1217,1,Harvard 2013
344,1228,1,Illinois 2013
345,1231,2,Indiana 2013
346,1235,1,Iowa St 2013
347,1241,1,James Madison 2013
348,1242,2,Kansas 2013
349,1247,3,La Salle 2013
350,1257,6,Louisville 2013
351,1266,3,Marquette 2013
352,1272,1,Memphis 2013
353,1274,2,Miami FL 2013
354,1276,5,Michigan 2013
355,1277,2,Michigan St 2013
356,1278,1,Minnesota 2013
357,1279,1,Mississippi 2013
358,1299,1,NC A&T 2013
359,1314,1,North Carolina 2013
360,1326,3,Ohio St 2013
361,1332,2,Oregon 2013
362,1361,1,San Diego St 2013
363,1387,1,St Louis 2013
364,1388,1,St Mary's CA 2013
365,1393,4,Syracuse 2013
366,1396,1,Temple 2013
367,1433,1,VA Commonwealth 2013
368,1455,4,Wichita St 2013
369,1107,1,Albany NY 2014
370,1112,3,Arizona 2014
371,1124,2,Baylor 2014
372,1142,1,Cal Poly SLO 2014
373,1163,6,Connecticut 2014
374,1166,1,Creighton 2014
375,1173,3,Dayton 2014
376,1196,4,Florida 2014
377,1211,1,Gonzaga 2014
378,1217,1,Harvard 2014
379,1235,2,Iowa St 2014
380,1242,1,Kansas 2014
381,1246,5,Kentucky 2014
382,1257,2,Louisville 2014
383,1272,1,Memphis 2014
384,1273,1,Mercer 2014
385,1276,3,Michigan 2014
386,1277,3,Michigan St 2014
387,1295,1,N Dakota St 2014
388,1301,1,NC State 2014
389,1314,1,North Carolina 2014
390,1332,1,Oregon 2014
391,1338,1,Pittsburgh 2014
392,1361,2,San Diego St 2014
393,1372,1,SF Austin 2014
394,1387,1,St Louis 2014
395,1390,2,Stanford 2014
396,1393,1,Syracuse 2014
397,1397,3,Tennessee 2014
398,1400,1,Texas 2014
399,1417,2,UCLA 2014
400,1437,1,Villanova 2014
401,1438,2,Virginia 2014
402,1455,1,Wichita St 2014
403,1458,4,Wisconsin 2014
404,1112,3,Arizona 2015
405,1116,1,Arkansas 2015
406,1139,1,Butler 2015
407,1153,1,Cincinnati 2015
408,1173,2,Dayton 2015
409,1181,6,Duke 2015
410,1207,1,Georgetown 2015
411,1209,1,Georgia St 2015
412,1211,3,Gonzaga 2015
413,1214,1,Hampton 2015
414,1234,1,Iowa 2015
415,1242,1,Kansas 2015
416,1246,4,Kentucky 2015
417,1257,3,Louisville 2015
418,1268,1,Maryland 2015
419,1277,4,Michigan St 2015
420,1279,1,Mississippi 2015
421,1301,2,NC State 2015
422,1314,2,North Carolina 2015
423,1320,1,Northern Iowa 2015
424,1323,3,Notre Dame 2015
425,1326,1,Ohio St 2015
426,1328,2,Oklahoma 2015
427,1332,1,Oregon 2015
428,1352,1,Robert Morris 2015
429,1361,1,San Diego St 2015
430,1412,1,UAB 2015
431,1417,2,UCLA 2015
432,1428,2,Utah 2015
433,1437,1,Villanova 2015
434,1438,1,Virginia 2015
435,1452,2,West Virginia 2015
436,1455,2,Wichita St 2015
437,1458,5,Wisconsin 2015
438,1462,2,Xavier 2015
439,1114,1,Ark Little Rock 2016
440,1139,1,Butler 2016
441,1163,1,Connecticut 2016
442,1181,2,Duke 2016
443,1195,1,FL Gulf Coast 2016
444,1211,2,Gonzaga 2016
445,1218,1,Hawaii 2016
446,1221,1,Holy Cross 2016
447,1231,2,Indiana 2016
448,1234,1,Iowa 2016
449,1235,2,Iowa St 2016
450,1242,3,Kansas 2016
451,1246,1,Kentucky 2016
452,1268,2,Maryland 2016
453,1274,2,Miami FL 2016
454,1276,1,Michigan 2016
455,1292,1,MTSU 2016
456,1314,5,North Carolina 2016
457,1320,1,Northern Iowa 2016
458,1323,3,Notre Dame 2016
459,1328,4,Oklahoma 2016
460,1332,3,Oregon 2016
461,1344,1,Providence 2016
462,1372,1,SF Austin 2016
463,1386,1,St Joseph's PA 2016
464,1393,4,Syracuse 2016
465,1401,2,Texas A&M 2016
466,1428,1,Utah 2016
467,1433,1,VA Commonwealth 2016
468,1437,6,Villanova 2016
469,1438,3,Virginia 2016
470,1455,2,Wichita St 2016
471,1458,2,Wisconsin 2016
472,1462,1,Xavier 2016
473,1463,1,Yale 2016
